tissue,num_non_tfs,num_tfs,mae,f1_005,f1_001,abs_time_saving,rel_time_saving,abs_emission_saving,rel_emission_saving,total_runtime
Breast,200,1,0.9554175879307546,0.0,0.0,320184.3665134907,83.85238407690275,12.606439648571751,151.43623689394377,3864.5160315036774
Breast,200,2,0.9554111696279125,0.0,0.0,320005.5854907036,80.14471313729267,12.601140643734245,142.4297574365258,4043.2970542907715
Breast,200,3,0.9553428070931398,1.1463409275235502e-05,1.8813613530750853e-05,320277.5232169628,85.92362974708422,12.606210999801341,151.02416279347432,3771.35932803154
Breast,200,4,0.9549474566879389,2.674775056194158e-05,4.389788098657352e-05,320221.5531876087,84.66710133521015,12.608601959651637,155.44731776746704,3827.3293573856354
Breast,200,5,0.9531735832212099,0.00031901582662349445,0.00033859089754803757,320142.94414925575,82.96313195787555,12.608210482411588,154.7054515901763,3905.9383957386017
Breast,200,6,0.9518957230409477,0.0007582123758594347,0.0007084017703775218,320162.57493424416,83.38220105084301,12.604909622602644,148.72085641219863,3886.3076107501984
Breast,200,7,0.9518281391931214,0.0006188361106150448,0.0005642544787699252,320039.1062731743,80.81470400788872,12.604550802862846,148.09808616802098,4009.7762718200684
Breast,200,8,0.9483116123997238,0.0022691012908495484,0.002161247885735764,319775.79686260223,75.83486656499437,12.596146608487256,134.87016421091477,4273.08568239212
Breast,200,9,0.9407534554756769,0.007034758752515474,0.010337771233919369,320235.8328573704,84.98417515952137,12.6086785818967,155.59335357281947,3813.0496876239777
Breast,200,10,0.9334814765891909,0.012991068166093578,0.017215652628044913,320145.5948855877,83.01947251160396,12.615870524980334,170.6403272625301,3903.287659406662
Breast,200,20,0.8882487928344104,0.027828488640452762,0.03474316983666766,320130.5021340847,82.69969950920778,12.605202489435353,149.23305372668557,3918.3804109096527
Breast,200,30,0.8320153788806787,0.047779654110365034,0.05929513997705843,320246.93657803535,85.23237451588142,12.60564257931794,150.00939930794434,3801.9459669589996
Breast,200,40,0.7218266937533312,0.10076546117266692,0.1378313675113862,319997.22353196144,79.97930761266706,12.60512228472061,149.09243254985216,4051.659013032913
Breast,200,50,0.6639503487507118,0.1196095883828563,0.16299022784416392,319956.14617085457,79.17658332271724,12.601447720897418,142.92233947771652,4092.7363741397858
Breast,200,60,0.6241770878113797,0.12879093928419488,0.1707553500857505,320162.95860028267,83.39043356368032,12.607522423565301,153.4185678073548,3885.923944711685
Breast,200,70,0.5480439066931688,0.16079794575002,0.22148485642744414,320185.595580101,83.87906088512398,12.607349156549638,153.09787207776301,3863.286964893341
Breast,200,80,0.5567547548770502,0.15299502255816866,0.19998645422374237,320153.9382326603,83.19730824362077,12.607406837301971,153.2044830115719,3894.9443123340607
Breast,200,90,0.49322379924910836,0.1765396507424988,0.23281496319322656,320025.6736462116,80.54488113780003,12.601239499046843,142.58796010599644,4023.20889878273
Breast,200,100,0.4656487608726581,0.18534620991885395,0.23977482822373686,320090.5195674896,81.86436776681558,12.614970613989342,168.60014309338828,3958.36297750473
Breast,200,200,0.24485749590613778,0.32856228256860814,0.42929561382786047,320044.5698604584,80.92496966993104,12.602652554752146,144.88837345362225,4004.31268453598
Breast,200,300,0.15217687731759352,0.4259911735350353,0.5776389917551317,319165.57684254646,66.35850841419901,12.582992295278615,118.32768372894384,4883.305702447891
Breast,200,400,0.1101414730116476,0.4790517127498501,0.6422111233960713,318496.9347214699,58.36670171357669,12.558495027200497,96.32509970002572,5551.947823524475
