tissue,num_non_tfs,num_tfs,mae,f1_005,f1_001,abs_time_saving,rel_time_saving,abs_emission_saving,rel_emission_saving,total_runtime
Breast,1,-1,2.0653318151767626e-08,1.0,1.0,318664.56467294693,60.183832055549225,12.591534602389741,128.56828862182638,5384.317872047424
Breast,2,-1,2.0653318151767626e-08,1.0,1.0,318686.3044114113,60.427815590348764,12.594081776650183,131.97402626748513,5362.578133583069
Breast,3,-1,4.130663630353525e-08,1.0,1.0,318670.63725185394,60.2517856443433,12.581598754442567,116.80987921233698,5378.245293140411
Breast,4,-1,2.0653318151767626e-08,1.0,1.0,318710.51404953003,60.70185728473376,12.578940411074353,114.0198965973396,5338.368495464325
Breast,5,-1,2.0653318151767626e-08,1.0,1.0,318712.59090542793,60.72548211988721,12.5828109063564,118.12789095498191,5336.2916395664215
Breast,6,-1,2.0653318151767626e-08,1.0,1.0,318763.9936413765,61.3161200651089,12.582695308983906,118.0009166054209,5284.888903617859
Breast,7,-1,2.0653318151767626e-08,1.0,1.0,318776.87213897705,61.46590343887322,12.584493462871539,120.00746999690497,5272.0104060173035
Breast,8,-1,2.0653318151767626e-08,1.0,1.0,318781.44061779976,61.51921312544601,12.584798161145468,120.35426270232354,5267.441927194595
Breast,9,-1,2.0653318151767626e-08,1.0,1.0,318850.3098990917,62.334202985583055,12.583084868202269,118.4299098648329,5198.572645902634
Breast,10,-1,2.0653318151767626e-08,1.0,1.0,318769.5095901489,61.38018384315529,12.594424624875742,132.4462635666819,5279.3729548454285
Breast,20,-1,4.130663630353525e-08,1.0,1.0,318986.46897506714,64.01074864171031,12.595324926387221,133.7025760295184,5062.413569927216
Breast,30,-1,4.130663630353525e-08,1.0,1.0,319439.8055782318,70.30667634361707,12.595202273217966,133.53002098122388,4609.076966762543
Breast,40,-1,2.0653318151767626e-08,1.0,1.0,319748.3657581806,75.35114931735518,12.59913903227139,139.30034425971442,4300.516786813736
Breast,50,-1,2.0653318151767626e-08,1.0,1.0,319699.33743453026,74.50178681108525,12.599241890012284,139.45780133785206,4349.545110464096
Breast,60,-1,2.0653318151767626e-08,1.0,1.0,319710.2946305275,74.6899426572562,12.599819187715552,140.34819008571645,4338.587914466858
Breast,70,-1,2.0653318151767626e-08,1.0,1.0,319629.1465792656,73.31860659951498,12.598437049670578,138.23515386652983,4419.73596572876
Breast,80,-1,2.0653318151767626e-08,1.0,1.0,319954.6247317791,79.1471610554285,12.585544956080435,121.2127648800063,4094.2578132152557
Breast,90,-1,2.0653318151767626e-08,1.0,1.0,319602.2470664978,72.87507242544609,12.592797935689415,130.23519175747956,4446.6354784965515
Breast,100,-1,4.130663630353525e-08,1.0,1.0,319468.671649456,70.74977330425035,12.604372671518242,147.790853386796,4580.21089553833
Kidney,1,-1,0.0,1.0,1.0,273401.9125869274,147.46568608008297,5.705940765785055,153.03708051504987,1866.661877632141
