tissue,num_non_tfs,num_tfs,mae,f1_005,f1_001,abs_time_saving,rel_time_saving,abs_emission_saving,rel_emission_saving,total_runtime
Breast,1,-1,0.015721410247854815,0.8082989571451772,0.8715302123329597,322731.6746709347,246.01195371408255,12.6548143479532,358.23316297398475,1317.2078740596771
Breast,2,-1,0.015431746713689928,0.8144508307617396,0.8726455448876163,322840.8912026882,268.2543087820176,12.66255484328024,458.3956888469734,1207.991342306137
Breast,3,-1,0.01537753042047263,0.8137031304231809,0.8742039709670908,322916.0455467701,286.0507584524045,12.662682915494997,460.52618116444626,1132.8369982242584
Breast,4,-1,0.015123659595123488,0.8172354390215347,0.8723642126860812,322971.7647264004,300.84813095747796,12.663815373267328,480.2634037756972,1077.1178185939789
Breast,5,-1,0.015163746238939197,0.8170551984455217,0.8735911879151088,322951.9813783169,295.42213317772445,12.66305837603088,466.8877065213829,1096.901166677475
Breast,6,-1,0.015188477130394633,0.8190396405315867,0.8731335318285295,322903.7340271473,282.9754197771859,12.660547176472406,427.40029333992254,1145.1485178470612
Breast,7,-1,0.01514276975141043,0.8179452326800533,0.8729521750190791,322903.0896575451,282.8162804068228,12.661885892642372,447.5804550253938,1145.7928874492645
Breast,8,-1,0.015309660501027628,0.8160742746050706,0.8747279480717151,322812.6527006626,262.1267267011846,12.659623855090228,414.51028429445506,1236.2298443317413
Breast,9,-1,0.01520746427588545,0.8159871926069899,0.8721915836666072,322824.9717891216,264.7651235926322,12.658852945191551,404.32896655597943,1223.9107558727264
Breast,10,-1,0.015187941604324023,0.8193654937294067,0.8734740129887444,322905.97261476517,283.5296762886757,12.655777728958341,368.24777671135985,1142.909930229187
Breast,20,-1,0.015059176191503227,0.8195309026500456,0.8724619319561997,322811.60428905487,261.9046127978215,12.655647931060273,366.86597593556905,1237.2782559394836
Breast,30,-1,0.0149814190647652,0.8227240823920469,0.8738773891664684,322578.1594939232,220.3330411588918,12.646851273801735,292.48540470211674,1470.723051071167
Breast,40,-1,0.014943013377782255,0.8220989885620469,0.8750166462683823,322194.17979741096,174.71742195196418,12.634682805736754,228.4222047306387,1854.7027475833893
Breast,50,-1,0.014894006448745452,0.8229049966792087,0.8732435870827504,322127.36269021034,168.64196419215196,12.626736742298194,199.83958282450988,1921.5198547840118
Breast,60,-1,0.014848332254069035,0.8238442250242949,0.8740263950720765,322228.1324310303,177.97548387322914,12.627654226235444,202.76920890941858,1820.7501139640808
Breast,70,-1,0.014789752224376776,0.8231090180526294,0.8741026322786493,321667.5675907135,136.07980832709956,12.610535300545672,159.21794755608437,2381.3149542808533
Breast,80,-1,0.014726985822613265,0.824645716503002,0.8741590330305219,321731.74413847923,139.84873826866053,12.609049092186032,156.303405249589,2317.1384065151215
Breast,90,-1,0.01476726985584602,0.8252337831268818,0.8743025729856283,321726.57996559143,139.5377524957618,12.603899171227495,146.9803454468245,2322.3025794029236
Breast,100,-1,0.014668532236576553,0.8269428880002223,0.874006792487452,321254.8920645714,115.98066808586177,12.582941870810458,118.27207536598735,2793.9904804229736
