tissue,num_non_tfs,num_tfs,mae,f1_005,f1_001,abs_time_saving,rel_time_saving,abs_emission_saving,rel_emission_saving,total_runtime
Breast,200,1,0.9554175879307546,0.0,0.0,320266.0210723877,85.66237090402937,12.610684671692228,159.51689553924038,3782.861472606659
Breast,200,2,0.955408630456223,0.0,0.0,320106.79307198524,82.20231548870416,12.60756442867354,153.49651648629072,3942.0894730091095
Breast,200,3,0.9553598094737387,3.821151026217872e-06,0.0,320292.7780275345,86.27259466255163,12.606766487611655,152.02919078330234,3756.1045174598694
Breast,200,4,0.9547817291055243,2.1016149955961612e-05,2.508473938523575e-05,320287.666326046,86.1553454205827,12.609953962315549,158.06505990174438,3761.2162189483643
Breast,200,5,0.9546764341526058,6.49575817438627e-05,0.00010660579684697679,320230.2629172802,84.86021498270344,12.605855714375357,150.38829319251036,3818.619627714157
Breast,200,6,0.9482632365446785,0.0017447459571620963,0.001954721875029368,320007.59868240356,80.18463774461337,12.604607941423398,148.19690690398934,4041.28386259079
Breast,200,7,0.9477221418039303,0.0020536722274232043,0.001967239818437548,320105.14397740364,82.1679421673634,12.606472212828187,151.49510767344557,3943.7385675907135
Breast,200,8,0.9482472697433396,0.002150907026232668,0.0023802439750074383,320272.4373090267,85.80791254661568,12.610063544158498,158.28109968970438,3776.445235967636
Breast,200,9,0.947022018133796,0.002514976801342593,0.0023614747629129447,320171.4707427025,83.57350187912843,12.60778128354206,153.90019634162795,3877.41180229187
Breast,200,10,0.938577157624755,0.008877095875298393,0.011392334025478422,320198.30315613747,84.15587625144224,12.609043790234296,156.29319880475177,3850.579388856888
Breast,200,20,0.8969847460914244,0.02155904782604587,0.02571586874630497,320089.6924815178,81.84726606947665,12.603513670924396,146.3270063044296,3959.1900634765625
Breast,200,30,0.8362222359684092,0.04149188946472338,0.04527707461186263,320255.401671648,85.42256923497874,12.604729539102035,148.40764881367738,3793.4808733463287
Breast,200,40,0.7618674076263356,0.07282662024870186,0.09301282626244506,320126.5314590931,82.61598093800822,12.60530125279602,149.4065782291696,3922.3510859012604
Breast,200,50,0.7095582955337563,0.09425127483446723,0.12026959722504649,320159.9233624935,83.32534936419957,12.607278935593143,152.96828327099547,3888.9591825008392
Breast,200,60,0.6407217612577308,0.12432325407839367,0.17219491926124397,320179.8490934372,83.7544794074022,12.607368200435307,153.1330543486251,3869.0334515571594
