k,type,spearman_corr,pvalue
100,GRNBoost2,0.09372083921443879,0.05077458797979969
100,DIANE-like,0.10094522955294713,0.03531738865856851
100,SignifiKANTE,0.10461641037368331,0.02913466280884707
200,GRNBoost2,0.1238147702719631,0.00974116016748453
200,DIANE-like,0.1579314531834841,0.0009490537451827024
200,SignifiKANTE,0.15180976512412178,0.001495489125275574
300,GRNBoost2,0.14278683092127717,0.002837689159967703
300,DIANE-like,0.1713377606901126,0.00033089293074005155
300,SignifiKANTE,0.1701644526107605,0.0003640204682267535
400,GRNBoost2,0.13173645352580762,0.005929086587463589
400,DIANE-like,0.15717489485455055,0.0010048113674212746
400,SignifiKANTE,0.15802913407448407,0.000942066731496448
500,GRNBoost2,0.14174622613371965,0.003048360606150884
500,DIANE-like,0.1614015252750038,0.0007280607574655499
500,SignifiKANTE,0.16523577896920033,0.0005398489500770024
600,GRNBoost2,0.13397574513285307,0.005128115431323809
600,DIANE-like,0.1592106214465908,0.0008612345477378583
600,SignifiKANTE,0.1639802957523602,0.000595822619691829
700,GRNBoost2,0.12022513094052159,0.012094092980582838
700,DIANE-like,0.1497531422045866,0.001735951366247818
700,SignifiKANTE,0.15553911274561472,0.0011358442563744534
800,GRNBoost2,0.12747229008906913,0.007770960228456915
800,DIANE-like,0.14904842351388706,0.0018261754722870035
800,SignifiKANTE,0.15260144713290366,0.0014113780945448652
900,GRNBoost2,0.13336589094970946,0.005335987069554324
900,DIANE-like,0.15437077339550606,0.0012388790885815657
900,SignifiKANTE,0.15598614549354953,0.0010985538572242577
1000,GRNBoost2,0.13347596741294923,0.005297915199288009
1000,DIANE-like,0.15536558943203538,0.00115063071084282
1000,SignifiKANTE,0.1587213927210808,0.0008938948314365249
