,total_edges,signif_edges,Weighted degree per TF,#(total edges)/#(signif. edges) per TF
ENSG00000272333,128.0,57.0,136.05595532540443,2.245614035087719
ENSG00000140396,87.0,29.0,70.84492949327718,3.0
ENSG00000100030,148.0,101.0,156.26941427679918,1.4653465346534653
ENSG00000124614,98.0,29.0,63.615703213775,3.3793103448275863
ENSG00000136367,103.0,40.0,50.842516908345225,2.575
ENSG00000005513,66.0,15.0,28.990473638894727,4.4
ENSG00000185024,153.0,57.0,88.95110811437353,2.6842105263157894
ENSG00000164252,164.0,72.0,127.13463222064298,2.2777777777777777
ENSG00000204390,57.0,23.0,36.89436381402266,2.4782608695652173
ENSG00000101190,131.0,84.0,99.89383436144409,1.5595238095238095
ENSG00000176160,134.0,76.0,129.60688180720075,1.763157894736842
ENSG00000133119,104.0,50.0,62.3216004644117,2.08
ENSG00000103067,76.0,58.0,102.38303488829516,1.3103448275862069
ENSG00000100206,101.0,17.0,33.308205842070564,5.9411764705882355
ENSG00000148606,139.0,59.0,81.55812599194144,2.3559322033898304
ENSG00000111727,128.0,62.0,97.1374897517344,2.064516129032258
ENSG00000132341,173.0,56.0,113.5609584514469,3.0892857142857144
ENSG00000136451,138.0,57.0,71.43857363154561,2.4210526315789473
ENSG00000121892,151.0,97.0,152.2104290033062,1.556701030927835
ENSG00000069399,72.0,7.0,16.07787457267156,10.285714285714286
ENSG00000124226,120.0,51.0,79.68729191264718,2.3529411764705883
ENSG00000111783,103.0,46.0,65.4990355851639,2.239130434782609
ENSG00000196323,131.0,59.0,102.46805128677802,2.2203389830508473
ENSG00000165417,125.0,60.0,83.58264700598751,2.0833333333333335
ENSG00000101457,166.0,76.0,114.72515746031358,2.1842105263157894
ENSG00000105732,132.0,75.0,143.41106192959262,1.76
ENSG00000122482,151.0,95.0,138.6118752476111,1.5894736842105264
ENSG00000197170,180.0,61.0,88.22197732028151,2.9508196721311477
ENSG00000105323,107.0,32.0,50.43234968033114,3.34375
