tissue,num_non_tfs,num_tfs,mae,f1_005,f1_001,abs_time_saving,rel_time_saving,abs_emission_saving,rel_emission_saving,total_runtime,correlation,tp_001
Breast,1,-1,0.015624874235764545,0.8099094206875095,0.871459978364111,322777.1532986164,254.80964872666797,12.660910826608271,432.6998003121,1271.729246377945,0.7198981928656354,274699
Breast,2,-1,0.014508198820608205,0.8334066460050976,0.8732709452350629,322906.948428154,283.77196001605665,12.663211561790021,469.53393917800724,1141.9341168403625,0.7485445645793768,275982
Breast,3,-1,0.01437588611971283,0.8338950293392521,0.8731997084432863,322914.3121135235,285.61372089072813,12.663167127465506,468.7632675904255,1134.570431470871,0.7499969491022594,276135
Breast,4,-1,0.01439173277097116,0.837724133341435,0.8737508154971978,323012.9831831455,312.8188842269823,12.6647622431335,498.1129775335132,1035.8993618488312,0.7528836952115459,277903
Breast,5,-1,0.014296152238088073,0.8369051233596504,0.8736530338199164,322992.77333307266,306.8327393483827,12.665189817326716,506.61550456986225,1056.109211921692,0.7493158779192223,276834
Breast,6,-1,0.014204849620194282,0.8388924484336886,0.8761278153848101,322854.88598275185,271.3985054834505,12.66133308279755,439.02068555090864,1193.996562242508,0.7546592552721251,276845
Breast,7,-1,0.014086652265119551,0.8389217846488048,0.8746413514810936,322775.94922733307,254.5686235476637,12.660323833866283,424.20936646446137,1272.9333176612854,0.7556536236683373,276032
Breast,8,-1,0.014082209572877749,0.8377014665833136,0.8740603254118943,322880.63215112686,277.3796475875609,12.661524709594374,441.9505335472407,1168.2503938674927,0.7571363776304527,276901
Breast,9,-1,0.014113264935684232,0.8389110093141511,0.8751348997481871,322883.77982378006,278.1290238574534,12.661435397380705,440.5801578327881,1165.1027212142944,0.7554140492980949,277332
Breast,10,-1,0.014116515853561608,0.8387907753620624,0.8741001863477419,322869.37553977966,274.7324781560002,12.658988302970677,406.08026500360006,1179.5070052146912,0.7561982903002717,277220
