	num_clusters
Adipose_Tissue	10
Adrenal_Gland	8
Bladder	10
Blood	11
Blood_Vessel	7
Brain	10
Breast	8
Cervix_Uteri	7
Colon	8
Esophagus	9
Fallopian_Tube	9
Heart	10
Kidney	6
Liver	6
Lung	10
Muscle	7
Nerve	6
Ovary	6
Pancreas	7
Pituitary	9
Prostate	10
Salivary_Gland	8
Skin	12
Small_Intestine	10
Spleen	7
Stomach	8
Testis	9
Thyroid	11
Uterus	9
Vagina	9
