,tissue,gtA,gtB,mae,f1,precision,recall,tp,fp,tn,fn
0,breast,0,1,0.014428486108283234,0.8384854037912577,0.840258317003003,0.8367199563863462,0.8367199563863462,0.24055244373911003,0.75944755626089,0.1632800436136538
1,kidney,0,1,0.018039288975780145,0.871603660017898,0.871919021261034,0.8712885268160218,0.8712885268160218,0.20858247973426633,0.7914175202657336,0.12871147318397827
2,testis,0,1,0.012600149615301794,0.8613086038124678,0.8580572125852651,0.864584729417112,0.864584729417112,0.29029744717906414,0.7097025528209359,0.13541527058288805
3,breast,0,2,0.014427214806008767,0.8388437744449304,0.8400395397587349,0.8376514085478575,0.8376514085478575,0.24121285543890042,0.7587871445610996,0.16234859145214248
4,kidney,0,2,0.018244148014090644,0.8700624152641739,0.870771703255498,0.8693542818349336,0.8693542818349336,0.21026038512164497,0.789739614878355,0.13064571816506643
5,testis,0,2,0.012605357953009837,0.8617592168994038,0.8591376768995983,0.8643968044006503,0.8643968044006503,0.2876628685564076,0.7123371314435923,0.1356031955993497
6,breast,0,3,0.01439536416410171,0.8392925380103584,0.8406239053642995,0.8379653811865692,0.8379653811865692,0.2402546110117536,0.7597453889882464,0.1620346188134308
7,kidney,0,3,0.01819702486323636,0.8710044724811503,0.8695691175799626,0.8724445737561827,0.8724445737561827,0.21326594737168197,0.7867340526283181,0.12755542624381727
8,testis,0,3,0.01252891131370225,0.8611859045363918,0.8587737990557879,0.8636115983241167,0.8636115983241167,0.28826607174273977,0.7117339282572602,0.13638840167588326
9,breast,0,4,0.01440225562940143,0.839580317068777,0.8410826325624297,0.8380833587841457,0.8380833587841457,0.23946614562725443,0.7605338543727456,0.16191664121585428
10,kidney,0,4,0.018236561869858704,0.870816263655419,0.8710082301811602,0.8706243817282514,0.8706243817282514,0.21012509056516457,0.7898749094348354,0.12937561827174862
11,testis,0,4,0.01260705490392352,0.8606781232251003,0.8571273775382682,0.8642584100086824,0.8642584100086824,0.2924057014528622,0.7075942985471378,0.13574158999131758
12,breast,0,5,0.014417898597667105,0.839352731834488,0.8396852073146928,0.8390205195390882,0.8390205195390882,0.2422444789438017,0.7577555210561983,0.16097948046091184
13,kidney,0,5,0.01834552412893381,0.870174786180327,0.8725537614696076,0.8678087479390941,0.8678087479390941,0.20656949904345484,0.7934305009565451,0.13219125206090582
14,testis,0,5,0.012516621216177219,0.8614754348511646,0.8593959760733225,0.8635649812657696,0.8635649812657696,0.28677284816873133,0.7132271518312687,0.13643501873423033
15,breast,0,6,0.014404675795297486,0.8393199181153161,0.8419168223109126,0.8367389850311165,0.8367389850311165,0.23759138213089964,0.7624086178691004,0.1632610149688834
16,kidney,0,6,0.01826373614653123,0.8698051444478004,0.8715767431207669,0.868040733197556,0.868040733197556,0.2084421274373567,0.7915578725626433,0.131959266802444
17,testis,0,6,0.012438181232346208,0.8624998047135429,0.8604393397797284,0.8645701615863784,0.8645701615863784,0.28463058979374295,0.715369410206257,0.1354298384136215
18,breast,0,7,0.014343950800606565,0.8402505697905999,0.8409556593721826,0.8395466615669899,0.8395466615669899,0.24011216927258314,0.7598878307274168,0.16045333843301013
19,kidney,0,7,0.018374678882568805,0.8693066510003935,0.8695306902363045,0.8690827271845601,0.8690827271845601,0.21251613735305683,0.7874838626469431,0.13091727281543983
20,testis,0,7,0.012365728106938314,0.8636129378801737,0.8606318430128932,0.8666147566298198,0.8666147566298198,0.28484644191434216,0.7151535580856578,0.13338524337018023
21,breast,0,8,0.014373345231593603,0.8392583595572404,0.8429720097482596,0.8355772862678834,0.8355772862678834,0.23538281577103426,0.7646171842289657,0.16442271373211664
22,kidney,0,8,0.018378344422151777,0.8689387375120059,0.8699445834739614,0.8679352148191252,0.8679352148191252,0.21146159847357393,0.7885384015264261,0.1320647851808748
