,tissue,gtA,gtB,mae,f1,precision,recall,tp,fp,tn,fn
23,testis,0,8,0.012575011244785998,0.8608052246815047,0.8587155856901998,0.8629050585335439,0.8629050585335439,0.28816849475671547,0.7118315052432845,0.13709494146645612
24,breast,0,9,0.014435241975635591,0.8396733113299597,0.8405190412361502,0.8388292816591456,0.8388292816591456,0.240690569061942,0.759309430938058,0.16117071834085442
25,kidney,0,9,0.01829650408176015,0.8695319804490442,0.8706646151069679,0.8684022888177675,0.8684022888177675,0.21023003867906992,0.78976996132093,0.13159771118223257
26,testis,0,9,0.012450360669757084,0.8620731891261246,0.8603255621965401,0.8638279306105087,0.8638279306105087,0.2846557232598401,0.7153442767401599,0.13617206938949136
27,breast,1,0,0.014428486108283234,0.8384854037912577,0.8367199563863462,0.840258317003003,0.840258317003003,0.24535811862800183,0.7546418813719982,0.159741682996997
28,kidney,1,0,0.018039288975780145,0.871603660017898,0.8712885268160218,0.871919021261034,0.871919021261034,0.20951403070728808,0.7904859692927119,0.12808097873896593
29,testis,1,0,0.012600149615301794,0.8613086038124678,0.864584729417112,0.8580572125852651,0.8580572125852651,0.279167198492368,0.720832801507632,0.14194278741473484
30,breast,1,2,0.01437180216128116,0.8387868314014552,0.8382113984040975,0.8393630550122728,0.8393630550122728,0.2424258020979431,0.7575741979020569,0.16063694498772718
31,kidney,1,2,0.017993925821916033,0.8712947427293065,0.8716895002008895,0.870900342639387,0.870900342639387,0.20852135453568393,0.7914786454643161,0.12909965736061302
32,testis,1,2,0.012698756064343049,0.8612556354860552,0.8618916203091019,0.8606205885499648,0.8606205885499648,0.2864620952180736,0.7135379047819265,0.13937941145003513
33,breast,1,3,0.014355042369415243,0.8387657423995294,0.8383246335147744,0.8392073157332024,0.8392073157332024,0.24217846384357927,0.7578215361564207,0.16079268426679763
34,kidney,1,3,0.017844949570134723,0.872794334154695,0.8710415060430565,0.8745542310490448,0.8745542310490448,0.21061026851511558,0.7893897314848844,0.12544576895095513
35,testis,1,3,0.01262107802658447,0.8607603455050264,0.8616051316001049,0.8599172143780379,0.8599172143780379,0.28691708774748664,0.7130829122525133,0.14008278562196205
36,breast,1,4,0.014372782814790812,0.8387283181783449,0.8384568303798628,0.8389999818463417,0.8389999818463417,0.2418825157588781,0.7581174842411219,0.1610000181536583
37,kidney,1,4,0.01799161774726053,0.8723252789907812,0.8722020450094582,0.8724485478006403,0.8724485478006403,0.20793534722827384,0.7920646527717261,0.12755145219935976
38,testis,1,4,0.012686711661520838,0.8607066954468823,0.8604026554745685,0.8610109503720004,0.8610109503720004,0.29018312323089746,0.7098168767691025,0.13898904962799963
39,breast,1,5,0.014348526802222766,0.8391748329387706,0.8377389391695986,0.8406156574347352,0.8406156574347352,0.2436338993519166,0.7563661006480834,0.1593843425652648
40,kidney,1,5,0.018061774570514603,0.8715192452046047,0.8735850705143907,0.8694631672364382,0.8694631672364382,0.20465673737905707,0.7953432626209429,0.13053683276356173
41,testis,1,5,0.012594354340248137,0.8610963921704887,0.8622773546118004,0.859918660162564,0.859918660162564,0.2853013386991418,0.7146986613008581,0.14008133983743598
42,breast,1,6,0.014344248887233476,0.8390611341600341,0.8398796457533771,0.8382442163877851,0.8382442163877851,0.23913034154124616,0.7608696584587539,0.16175578361221493
43,kidney,1,6,0.017912927052137602,0.8714409650997885,0.8728995377230171,0.8699872587529106,0.8699872587529106,0.20605229357450566,0.7939477064254944,0.13001274124708936
44,testis,1,6,0.012558500463259077,0.8618316634760756,0.8630352473651284,0.8606314319339103,0.8606314319339103,0.2837171237864989,0.7162828762135011,0.13936856806608972
45,breast,1,7,0.014301150481413803,0.8401088407071498,0.8390419771158674,0.8411784208419284,0.8411784208419284,0.24146361339744113,0.7585363866025588,0.15882157915807155
46,kidney,1,7,0.018062031556974677,0.8709005750432621,0.8708099837681871,0.8709911851689088,0.8709911851689088,0.21018465544917334,0.7898153445508267,0.12900881483109114
47,testis,1,7,0.012482909855495414,0.8624315017477991,0.8627122346704937,0.8621509514707966,0.8621509514707966,0.28499500709518055,0.7150049929048194,0.1378490485292034
48,breast,1,8,0.01432389546369072,0.8388190656410885,0.8407489919151644,0.8368979793067405,0.8368979793067405,0.23720453443934994,0.76279546556065,0.16310202069325955
49,kidney,1,8,0.018108666193380554,0.8703808821135416,0.8710729777945062,0.8696898853443048,0.8696898853443048,0.20938015834826768,0.7906198416517323,0.13031011465569517
50,testis,1,8,0.012664363193354638,0.8603404082205842,0.8615084525357607,0.8591755269161705,0.8591755269161705,0.2869020714923905,0.7130979285076094,0.14082447308382948
51,breast,1,9,0.0143841513009266,0.8390464578596124,0.8381213689326498,0.839973591204457,0.839973591204457,0.24276321150852032,0.7572367884914797,0.160026408795543
52,kidney,1,9,0.01798405754184884,0.8710553731169872,0.8718742366937736,0.8702380462489412,0.8702380462489412,0.2080187017159658,0.7919812982840342,0.12976195375105887
53,testis,1,9,0.012563765349747926,0.8613578998402859,0.8628747523535032,0.8598463709362612,0.8598463709362612,0.28384326032930646,0.7161567396706935,0.14015362906373885
54,breast,2,0,0.014427214806008767,0.8388437744449304,0.8376514085478575,0.8400395397587349,0.8400395397587349,0.24446103130475394,0.7555389686952461,0.15996046024126503
55,kidney,2,0,0.018244148014090644,0.8700624152641739,0.8693542818349336,0.870771703255498,0.870771703255498,0.21234985150668692,0.787650148493313,0.12922829674450195
56,testis,2,0,0.012605357953009837,0.8617592168994038,0.8643968044006503,0.8591376768995983,0.8591376768995983,0.2787008690314902,0.7212991309685097,0.14086232310040164
57,breast,2,1,0.01437180216128116,0.8387868314014552,0.8393630550122728,0.8382113984040975,0.8382113984040975,0.24086508913208857,0.7591349108679114,0.16178860159590253
58,kidney,2,1,0.017993925821916033,0.8712947427293065,0.870900342639387,0.8716895002008895,0.8716895002008895,0.20968516895449357,0.7903148310455064,0.1283104997991105
59,testis,2,1,0.012698756064343049,0.8612556354860552,0.8606205885499648,0.8618916203091019,0.8618916203091019,0.28864121200326354,0.7113587879967365,0.1381083796908981
60,breast,2,3,0.014320787009479558,0.8399709511771739,0.840105638608678,0.8398363069254688,0.8398363069254688,0.24000406871544636,0.7599959312845537,0.1601636930745311
61,kidney,2,3,0.01806987468766672,0.8714336989527558,0.8692907248033271,0.8735872649262459,0.8735872649262459,0.21315568782985378,0.7868443121701463,0.12641273507375403
62,testis,2,3,0.01264845251138955,0.8605162941351541,0.8607250934723625,0.8603075960767166,0.8603075960767166,0.2878597573298802,0.7121402426701199,0.13969240392328341
63,breast,2,4,0.014353269297521192,0.8394412792467922,0.8397458605422138,0.8391369188185016,0.8391369188185016,0.24044675641718086,0.7595532435828192,0.16086308118149836
64,kidney,2,4,0.018089007449706998,0.8711412909248786,0.8706240049925988,0.871659191919035,0.871659191919035,0.21019338810666297,0.789806611893337,0.12834080808096507
65,testis,2,4,0.012724294176240403,0.8604549750831826,0.8595170156973511,0.8613949838267362,0.8613949838267362,0.2911322859046236,0.7088677140953764,0.13860501617326387
66,breast,2,5,0.014364734475864189,0.8392488302290358,0.8383873778226363,0.840112054760276,0.840112054760276,0.2431601884789451,0.7568398115210548,0.1598879452397241
67,kidney,2,5,0.01821557640356319,0.8705834170026742,0.8722510777257529,0.8689221209269361,0.8689221209269361,0.20651226725013083,0.7934877327498692,0.13107787907306395
68,testis,2,5,0.012616424939405199,0.8613465467031773,0.861890996181358,0.8608027846393087,0.8608027846393087,0.28522796170572695,0.714772038294273,0.1391972153606913
69,breast,2,6,0.014309393921184542,0.8398025080257397,0.8411997897725695,0.8384098605135779,0.8384098605135779,0.2376473655783808,0.7623526344216192,0.16159013948642204
70,kidney,2,6,0.018138616884519024,0.8699229659865322,0.8709839005457891,0.8688646129049555,0.8688646129049555,0.20885032756805155,0.7911496724319484,0.13113538709504444
71,testis,2,6,0.01255103309925573,0.8621033761945486,0.862669892038951,0.8615376039244418,0.8615376039244418,0.28360517077479286,0.7163948292252071,0.13846239607555824
72,breast,2,7,0.014268136672304216,0.84072005321013,0.8402284982359433,0.8412121836652325,0.8412121836652325,0.24017741891580194,0.7598225810841981,0.1587878163347674
73,kidney,2,7,0.018259573926574946,0.8702052203738425,0.8697208764713235,0.8706901040351203,0.8706901040351203,0.2116449023601294,0.7883550976398707,0.12930989596487968
74,testis,2,7,0.012481372313644873,0.8630326327809869,0.8626767898891229,0.8633887693550676,0.8633887693550676,0.2841979984580492,0.7158020015419508,0.1366112306449324
75,breast,2,8,0.014326482695412215,0.8397108741816539,0.8422223651335586,0.8372143171329095,0.8372143171329095,0.23549409821363335,0.7645059017863667,0.1627856828670905
76,kidney,2,8,0.018250989618111117,0.8694304566258855,0.8697276144764203,0.869133501764486,0.869133501764486,0.2112539645507683,0.7887460354492317,0.130866498235514
77,testis,2,8,0.012686406493100271,0.8604683003015707,0.8610003290842325,0.8599369286146593,0.8599369286146593,0.2870753085772884,0.7129246914227116,0.1400630713853407
78,breast,2,9,0.014366436601996735,0.840004711508336,0.8396543538487645,0.8403553616733409,0.8403553616733409,0.24095964378682797,0.759040356213172,0.1596446383266591
79,kidney,2,9,0.018175797301284987,0.8694877702976671,0.8699108380538394,0.8690651138464551,0.8690651138464551,0.21089581507380528,0.7891041849261947,0.13093488615354487
80,testis,2,9,0.012583544748303354,0.8615308020345182,0.8624104718468281,0.8606529249427348,0.8606529249427348,0.28393451948771303,0.7160654805122869,0.13934707505726524
81,breast,3,0,0.01439536416410171,0.8392925380103584,0.8379653811865692,0.8406239053642995,0.8406239053642995,0.24387086611918177,0.7561291338808183,0.15937609463570046
82,kidney,3,0,0.01819702486323636,0.8710044724811503,0.8724445737561827,0.8695691175799626,0.8695691175799626,0.20900324813597676,0.7909967518640232,0.13043088242003748
83,testis,3,0,0.01252891131370225,0.8611859045363918,0.8636115983241167,0.8587737990557879,0.8587737990557879,0.2800337991939042,0.7199662008060959,0.1412262009442121
84,breast,3,1,0.014355042369415243,0.8387657423995294,0.8392073157332024,0.8383246335147744,0.8383246335147744,0.24098260888242917,0.7590173911175708,0.16167536648522557
85,kidney,3,1,0.017844949570134723,0.872794334154695,0.8745542310490448,0.8710415060430565,0.8710415060430565,0.205397880766077,0.794602119233923,0.12895849395694348
86,testis,3,1,0.01262107802658447,0.8607603455050264,0.8599172143780379,0.8616051316001049,0.8616051316001049,0.28980715017460423,0.7101928498253958,0.13839486839989512
87,breast,3,2,0.014320787009479558,0.8399709511771739,0.8398363069254688,0.840105638608678,0.840105638608678,0.24036973129327194,0.759630268706728,0.15989436139132193
88,kidney,3,2,0.01806987468766672,0.8714336989527558,0.8735872649262459,0.8692907248033271,0.8692907248033271,0.20679375290012142,0.7932062470998786,0.13070927519667289
89,testis,3,2,0.01264845251138955,0.8605162941351541,0.8603075960767166,0.8607250934723625,0.8607250934723625,0.28857333004314634,0.7114266699568537,0.13927490652763755
90,breast,3,4,0.014336253185484728,0.8398040688832862,0.8399740666228078,0.8396341399396596,0.8396341399396596,0.2399888307355247,0.7600111692644753,0.16036586006034037
91,kidney,3,4,0.018061187584618856,0.8720289884266326,0.8736636531509958,0.8704004293435267,0.8704004293435267,0.20691452507929647,0.7930854749207036,0.12959957065647337
92,testis,3,4,0.012625606316454362,0.860334359036678,0.859188332093245,0.8614834473157751,0.8614834473157751,0.2915210385026658,0.7084789614973342,0.13851655268422494
93,breast,3,5,0.014326570805470824,0.8400763034941928,0.8390796170307985,0.841075360567631,0.841075360567631,0.24200216225504587,0.7579978377449541,0.15892463943236906
94,kidney,3,5,0.018162231778632274,0.87077879132568,0.8746070182062712,0.8669839313235953,0.8669839313235953,0.20434271330591594,0.7956572866940841,0.13301606867640475
95,testis,3,5,0.012555373218182597,0.8611513058978252,0.861486515873315,0.8608163566856099,0.8608163566856099,0.28577667107850835,0.7142233289214917,0.13918364331439018
96,breast,3,6,0.01429507832523066,0.8398389145755927,0.8411011858320497,0.8385804263149707,0.8385804263149707,0.23768051607729704,0.762319483922703,0.16141957368502935
97,kidney,3,6,0.0180203329819965,0.8714098160380599,0.8746313235892138,0.8682119527938649,0.8682119527938649,0.20458680023645923,0.7954131997635407,0.13178804720613516
98,testis,3,6,0.012481146118521658,0.8618829528339724,0.8622400196016032,0.8615261816775337,0.8615261816775337,0.2842078500871152,0.7157921499128849,0.13847381832246625
99,breast,3,7,0.014260386992147744,0.8409243832525277,0.8402980693538272,0.8415516314903844,0.8415516314903844,0.23995732768187644,0.7600426723181236,0.1584483685096156
100,kidney,3,7,0.018193929497350787,0.8706241855030782,0.8722887787792528,0.8689659332305858,0.8689659332305858,0.20915071732318,0.79084928267682,0.13103406676941423
101,testis,3,7,0.012417990392661468,0.8624420659169165,0.8618774739010671,0.8630073981147628,0.8630073981147628,0.28556580000149556,0.7144341999985044,0.13699260188523724
102,breast,3,8,0.014270231288697923,0.8403503146610514,0.8427282072743363,0.8379858034995891,0.8379858034995891,0.234626151830399,0.765373848169601,0.16201419650041088
103,kidney,3,8,0.018157985497684378,0.8706395996952349,0.8730902451049772,0.8682026730346437,0.8682026730346437,0.20746499195911544,0.7925350080408846,0.13179732696535634
104,testis,3,8,0.012606905244650182,0.8602257511028154,0.860548744333445,0.8599030002419199,0.8599030002419199,0.2877193769582221,0.7122806230417779,0.14009699975808004
105,breast,3,9,0.014319213615575506,0.8400868620856916,0.839601919663201,0.8405723650239615,0.8405723650239615,0.24092246668910067,0.7590775333108993,0.1594276349760385
106,kidney,3,9,0.018090315438736553,0.8708792114363141,0.8734572462945129,0.8683163500851031,0.8683163500851031,0.20680519447499063,0.7931948055250094,0.13168364991489687
107,testis,3,9,0.012484138329009482,0.8618603391904386,0.862530894603247,0.8611908255844105,0.8611908255844105,0.283401754267896,0.716598245732104,0.1388091744155895
108,breast,4,0,0.01440225562940143,0.839580317068777,0.8380833587841457,0.8410826325624297,0.8410826325624297,0.24354543490051792,0.7564545650994821,0.15891736743757037
109,kidney,4,0,0.018236561869858704,0.870816263655419,0.8706243817282514,0.8710082301811602,0.8710082301811602,0.21069197091359365,0.7893080290864063,0.12899176981883975
110,testis,4,0,0.01260705490392352,0.8606781232251003,0.8642584100086824,0.8571273775382682,0.8571273775382682,0.2802515012023153,0.7197484987976847,0.14287262246173182
111,breast,4,1,0.014372782814790812,0.8387283181783449,0.8389999818463417,0.8384568303798628,0.8384568303798628,0.24114693124623446,0.7588530687537656,0.16154316962013712
112,kidney,4,1,0.01799161774726053,0.8723252789907812,0.8724485478006403,0.8722020450094582,0.8722020450094582,0.20757105763581343,0.7924289423641866,0.12779795499054186
113,testis,4,1,0.012686711661520838,0.8607066954468823,0.8610109503720004,0.8604026554745685,0.8604026554745685,0.2891391602891572,0.7108608397108428,0.13959734452543143
114,breast,4,2,0.014353269297521192,0.8394412792467922,0.8391369188185016,0.8397458605422138,0.8397458605422138,0.24127286699896533,0.7587271330010347,0.16025413945778616
115,kidney,4,2,0.018089007449706998,0.8711412909248786,0.871659191919035,0.8706240049925988,0.8706240049925988,0.20866653610214358,0.7913334638978564,0.12937599500740118
116,testis,4,2,0.012724294176240403,0.8604549750831826,0.8613949838267362,0.8595170156973511,0.8595170156973511,0.2879150393929323,0.7120849606070677,0.14048298430264897
117,breast,4,3,0.014336253185484728,0.8398040688832862,0.8396341399396596,0.8399740666228078,0.8399740666228078,0.240449991341917,0.759550008658083,0.16002593337719218
118,kidney,4,3,0.018061187584618856,0.8720289884266326,0.8704004293435267,0.8736636531509958,0.8736636531509958,0.21175459766121033,0.7882454023387897,0.12633634684900416
119,testis,4,3,0.012625606316454362,0.860334359036678,0.8614834473157751,0.859188332093245,0.859188332093245,0.2875917150775903,0.7124082849224097,0.14081166790675498
120,breast,4,5,0.014333361573560709,0.839647315822445,0.8384816442347519,0.8408162329955438,0.8408162329955438,0.2427540431816523,0.7572459568183477,0.15918376700445622
121,kidney,4,5,0.018254319874424673,0.8709507103218344,0.8731388460260276,0.8687735143874868,0.8687735143874868,0.20547360174872226,0.7945263982512777,0.13122648561251316
122,testis,4,5,0.012619628232842075,0.8604653350497746,0.8619504359398875,0.8589853428784016,0.8589853428784016,0.28639917469588716,0.7136008253041128,0.1410146571215985
123,breast,4,6,0.014311619558379715,0.8399728091737488,0.8410648076792366,0.8388836425891746,0.8388836425891746,0.23759067731968647,0.7624093226803135,0.16111635741082536
124,kidney,4,6,0.018116672162222052,0.8710594633727755,0.872640899438007,0.8694837488269489,0.8694837488269489,0.20656655315976674,0.7934334468402332,0.13051625117305116
125,testis,4,6,0.012553176590541969,0.861768391147081,0.8632773677598572,0.8602646805989987,0.8602646805989987,0.2836321200901699,0.7163678799098301,0.13973531940100123
126,breast,4,7,0.014273639545965725,0.8407061960283032,0.8399101865458989,0.8415037157487977,0.8415037157487977,0.24039417890604764,0.7596058210939524,0.15849628425120238
127,kidney,4,7,0.01827201927647079,0.8702380499573455,0.8702704758770108,0.8702056264539431,0.8702056264539431,0.2111594761414393,0.7888405238585607,0.12979437354605697
128,testis,4,7,0.012472285022067224,0.8625459114004848,0.8631317851438625,0.8619608324724953,0.8619608324724953,0.2845419396752019,0.7154580603247981,0.13803916752750467
129,breast,4,8,0.01428220338594964,0.8401360186029947,0.8423423466660012,0.8379412183149225,0.8379412183149225,0.23505908247217608,0.7649409175278239,0.1620587816850775
130,kidney,4,8,0.018275915383345064,0.8699649017852114,0.8707797974644956,0.8691515298760311,0.8691515298760311,0.20995280724254045,0.7900471927574596,0.13084847012396889
131,testis,4,8,0.012688921451377682,0.8598586922228623,0.861330863027024,0.8583915452463682,0.8583915452463682,0.287692471957255,0.712307528042745,0.14160845475363176
132,breast,4,9,0.01434517804785172,0.8399944090184631,0.8393397487353828,0.8406500913301741,0.8406500913301741,0.24116982865582187,0.7588301713441781,0.1593499086698259
133,kidney,4,9,0.018136812695464688,0.8706889685539039,0.871630756593021,0.8697492135026822,0.8697492135026822,0.20850985867443314,0.7914901413255668,0.1302507864973178
134,testis,4,9,0.012561694981885141,0.8608778020165869,0.8626991962869166,0.8590640824670774,0.8590640824670774,0.2846246505465685,0.7153753494534315,0.14093591753292253
135,breast,5,0,0.014417898597667105,0.839352731834488,0.8390205195390882,0.8396852073146928,0.8396852073146928,0.24315049299205435,0.7568495070079456,0.1603147926853073
136,kidney,5,0,0.01834552412893381,0.870174786180327,0.8678087479390941,0.8725537614696076,0.8725537614696076,0.21353944723240204,0.786460552767598,0.12744623853039241
137,testis,5,0,0.012516621216177219,0.8614754348511646,0.8635649812657696,0.8593959760733225,0.8593959760733225,0.2796802885943419,0.7203197114056581,0.14060402392667742
138,breast,5,1,0.014348526802222766,0.8391748329387706,0.8406156574347352,0.8377389391695986,0.8377389391695986,0.23972735620885446,0.7602726437911456,0.1622610608304014
139,kidney,5,1,0.018061774570514603,0.8715192452046047,0.8694631672364382,0.8735850705143907,0.8735850705143907,0.21071444685640375,0.7892855531435963,0.12641492948560926
140,testis,5,1,0.012594354340248137,0.8610963921704887,0.859918660162564,0.8622773546118004,0.8622773546118004,0.28933941937709134,0.7106605806229087,0.13772264538819962
141,breast,5,2,0.014364734475864189,0.8392488302290358,0.840112054760276,0.8383873778226363,0.8383873778226363,0.24081522965338945,0.7591847703466106,0.1616126221773637
142,kidney,5,2,0.01821557640356319,0.8705834170026742,0.8689221209269361,0.8722510777257529,0.8722510777257529,0.21139625706250095,0.788603742937499,0.12774892227424708
143,testis,5,2,0.012616424939405199,0.8613465467031773,0.8608027846393087,0.861890996181358,0.861890996181358,0.28708925550483855,0.7129107444951615,0.13810900381864205
144,breast,5,3,0.014326570805470824,0.8400763034941928,0.841075360567631,0.8390796170307985,0.8390796170307985,0.2392876081586197,0.7607123918413803,0.16092038296920155
145,kidney,5,3,0.018162231778632274,0.87077879132568,0.8669839313235953,0.8746070182062712,0.8746070182062712,0.21558237119552412,0.7844176288044759,0.12539298179372882
146,testis,5,3,0.012555373218182597,0.8611513058978252,0.8608163566856099,0.861486515873315,0.861486515873315,0.2869220236842066,0.7130779763157934,0.13851348412668496
147,breast,5,4,0.014333361573560709,0.839647315822445,0.8408162329955438,0.8384816442347519,0.8384816442347519,0.23958077352544288,0.7604192264745572,0.16151835576524806
148,kidney,5,4,0.018254319874424673,0.8709507103218344,0.8687735143874868,0.8731388460260276,0.8731388460260276,0.21188756147571802,0.7881124385242819,0.12686115397397232
149,testis,5,4,0.012619628232842075,0.8604653350497746,0.8589853428784016,0.8619504359398875,0.8619504359398875,0.29147311823140404,0.7085268817685959,0.13804956406011246
150,breast,5,6,0.014313884673458295,0.8402566739131888,0.8425218484313837,0.8380036468723071,0.8380036468723071,0.23639906704433264,0.7636009329556673,0.1619963531276929
151,kidney,5,6,0.018264872170789346,0.8698006479798185,0.8691975825110662,0.8704045508656911,0.8704045508656911,0.2104387147877615,0.7895612852122385,0.1295954491343089
152,testis,5,6,0.012449067847630377,0.8623199410516823,0.862341507192208,0.862298375989817,0.862298375989817,0.2835430450226883,0.7164569549773118,0.13770162401018304
153,breast,5,7,0.014280320462553925,0.8408969559909711,0.8412692059171666,0.8405250353499045,0.8405250353499045,0.2393522769895366,0.7606477230104635,0.15947496465009545
154,kidney,5,7,0.01832369805272215,0.8703988246266552,0.868255278056157,0.8725529813568657,0.8725529813568657,0.21270849104372108,0.787291508956279,0.12744701864313432
155,testis,5,7,0.012382850687774831,0.8631170392254832,0.8622167310941876,0.8640192294867595,0.8640192294867595,0.2844075738097051,0.7155924261902948,0.13598077051324056
156,breast,5,8,0.01428318461160254,0.8402871452867581,0.8436698223409452,0.8369314854577397,0.8369314854577397,0.2340566182800103,0.7659433817199897,0.1630685145422604
157,kidney,5,8,0.018307728866057752,0.8697107678119952,0.8683472561587311,0.8710785682746871,0.8710785682746871,0.21217833347537712,0.7878216665246228,0.12892143172531295
158,testis,5,8,0.012599129299799833,0.8603634328742279,0.8603515837359904,0.860375282338853,0.860375282338853,0.28766411488826077,0.7123358851117392,0.13962471766114698
159,breast,5,9,0.014353390019744377,0.8405215637384483,0.8410348029523307,0.8400089505482211,0.8400089505482211,0.23962532316451896,0.7603746768354811,0.15999104945177892
160,kidney,5,9,0.018248290059408947,0.8700136169311115,0.8687751161781248,0.8712556538670969,0.8712556538670969,0.21142759025211938,0.7885724097478807,0.12874434613290311
161,testis,5,9,0.01249121618891056,0.8617202527170711,0.8620550070839049,0.8613857582338563,0.8613857582338563,0.2839267823253883,0.7160732176746116,0.1386142417661437
162,breast,6,0,0.014404675795297486,0.8393199181153161,0.8367389850311165,0.8419168223109126,0.8419168223109126,0.24461677726537273,0.7553832227346272,0.15808317768908742
163,kidney,6,0,0.01826373614653123,0.8698051444478004,0.868040733197556,0.8715767431207669,0.8715767431207669,0.21364131963984243,0.7863586803601575,0.12842325687923306
164,testis,6,0,0.012438181232346208,0.8624998047135429,0.8645701615863784,0.8604393397797284,0.8604393397797284,0.27759115434802734,0.7224088456519727,0.13956066022027155
165,breast,6,1,0.014344248887233476,0.8390611341600341,0.8382442163877851,0.8398796457533771,0.8398796457533771,0.2413408697263662,0.7586591302736337,0.16012035424662283
166,kidney,6,1,0.017912927052137602,0.8714409650997885,0.8699872587529106,0.8728995377230171,0.8728995377230171,0.21033769796607443,0.7896623020339255,0.1271004622769829
167,testis,6,1,0.012558500463259077,0.8618316634760756,0.8606314319339103,0.8630352473651284,0.8630352473651284,0.2878375271350467,0.7121624728649533,0.13696475263487157
168,breast,6,2,0.014309393921184542,0.8398025080257397,0.8384098605135779,0.8411997897725695,0.8411997897725695,0.24142497701305088,0.7585750229869491,0.15880021022743046
169,kidney,6,2,0.018138616884519024,0.8699229659865322,0.8688646129049555,0.8709839005457891,0.8709839005457891,0.21196187394485086,0.7880381260551491,0.1290160994542109
170,testis,6,2,0.01255103309925573,0.8621033761945486,0.8615376039244418,0.862669892038951,0.862669892038951,0.285544298430273,0.714455701569727,0.13733010796104905
171,breast,6,3,0.01429507832523066,0.8398389145755927,0.8385804263149707,0.8411011858320497,0.8411011858320497,0.241092824508008,0.7589071754919919,0.15889881416795026
