tissue,groundtruth,approximation,f1_005,f1_005_bh
Kidney,gt-0,approx,0.895479412611575,0.0
Kidney,gt-0,gt-1,0.9993933007631638,0.0
Kidney,gt-0,gt-2,0.9993613760217984,0.0
Kidney,gt-0,gt-3,0.9993507115562699,0.0
Kidney,gt-0,gt-4,0.9991164667184722,0.0
Kidney,gt-0,gt-5,0.9993400885558583,0.0
Kidney,gt-0,gt-6,0.9993081794476079,0.0
Kidney,gt-0,gt-7,0.9993826766289886,0.0
Kidney,gt-0,gt-8,0.9994145510671137,0.0
Kidney,gt-0,gt-9,0.9993932620150088,0.0
Kidney,gt-1,approx,0.8955418088737201,0.0
Kidney,gt-1,gt-0,0.9993933007631638,0.0
Kidney,gt-1,gt-2,0.9994783960145197,0.0
Kidney,gt-1,gt-3,0.9994677340373438,0.0
Kidney,gt-1,gt-4,0.9992334717342702,0.0
Kidney,gt-1,gt-5,0.9994358160973377,0.0
Kidney,gt-1,gt-6,0.9994251894745806,0.0
Kidney,gt-1,gt-7,0.9994784071192105,0.0
Kidney,gt-1,gt-8,0.9995315860071965,0.0
Kidney,gt-1,gt-9,0.9995102944620691,0.0
Kidney,gt-2,approx,0.8955109267179318,0.0
Kidney,gt-2,gt-0,0.9993613760217984,0.0
Kidney,gt-2,gt-1,0.9994783960145197,0.0
Kidney,gt-2,gt-3,0.99943580408563,0.0
Kidney,gt-2,gt-4,0.9992015415571004,0.0
Kidney,gt-2,gt-5,0.9994038875050563,0.0
Kidney,gt-2,gt-6,0.9993932620150088,0.0
Kidney,gt-2,gt-7,0.9994464787532998,0.0
Kidney,gt-2,gt-8,0.999499654016075,0.0
Kidney,gt-2,gt-9,0.99947836269761,0.0
Kidney,gt-3,approx,0.8956035751615862,0.0
Kidney,gt-3,gt-0,0.9993507115562699,0.0
Kidney,gt-3,gt-1,0.9994677340373438,0.0
Kidney,gt-3,gt-2,0.99943580408563,0.0
Kidney,gt-3,gt-4,0.9991908696022486,0.0
Kidney,gt-3,gt-5,0.999414513673767,0.0
Kidney,gt-3,gt-6,0.9994251772370186,0.0
Kidney,gt-3,gt-7,0.9994358160973377,0.0
Kidney,gt-3,gt-8,0.9995102840352595,0.0
Kidney,gt-3,gt-9,0.9994889920367925,0.0
Kidney,gt-4,approx,0.8956373333333333,0.0
Kidney,gt-4,gt-0,0.9991164667184722,0.0
Kidney,gt-4,gt-1,0.9992334717342702,0.0
Kidney,gt-4,gt-2,0.9992015415571004,0.0
Kidney,gt-4,gt-3,0.9991908696022486,0.0
Kidney,gt-4,gt-5,0.9991589571068125,0.0
Kidney,gt-4,gt-6,0.9991696297400302,0.0
Kidney,gt-4,gt-7,0.9992015585576953,0.0
Kidney,gt-4,gt-8,0.9992760103913803,0.0
Kidney,gt-4,gt-9,0.999254716579362,0.0
Kidney,gt-5,approx,0.8955109267179318,0.0
Kidney,gt-5,gt-0,0.9993400885558583,0.0
Kidney,gt-5,gt-1,0.9994358160973377,0.0
Kidney,gt-5,gt-2,0.9994038875050563,0.0
Kidney,gt-5,gt-3,0.999414513673767,0.0
Kidney,gt-5,gt-4,0.9991589571068125,0.0
Kidney,gt-5,gt-6,0.9993506839107988,0.0
Kidney,gt-5,gt-7,0.9994251894745806,0.0
Kidney,gt-5,gt-8,0.9994570713791452,0.0
Kidney,gt-5,gt-9,0.9994357800606802,0.0
Kidney,gt-6,approx,0.895567595239111,0.0
Kidney,gt-6,gt-0,0.9993081794476079,0.0
Kidney,gt-6,gt-1,0.9994251894745806,0.0
Kidney,gt-6,gt-2,0.9993932620150088,0.0
Kidney,gt-6,gt-3,0.9994251772370186,0.0
Kidney,gt-6,gt-4,0.9991696297400302,0.0
Kidney,gt-6,gt-5,0.9993506839107988,0.0
Kidney,gt-6,gt-7,0.9994145635305013,0.0
Kidney,gt-6,gt-8,0.9994464433988375,0.0
Kidney,gt-6,gt-9,0.9994251527603313,0.0
Kidney,gt-7,approx,0.8955771466356666,0.0
Kidney,gt-7,gt-0,0.9993826766289886,0.0
Kidney,gt-7,gt-1,0.9994784071192105,0.0
Kidney,gt-7,gt-2,0.9994464787532998,0.0
Kidney,gt-7,gt-3,0.9994358160973377,0.0
Kidney,gt-7,gt-4,0.9992015585576953,0.0
Kidney,gt-7,gt-5,0.9994251894745806,0.0
Kidney,gt-7,gt-6,0.9994145635305013,0.0
Kidney,gt-7,gt-8,0.9994996646688739,0.0
Kidney,gt-7,gt-9,0.9994783738037195,0.0
Kidney,gt-8,approx,0.8955351238347163,0.0
Kidney,gt-8,gt-0,0.9994145510671137,0.0
Kidney,gt-8,gt-1,0.9995315860071965,0.0
Kidney,gt-8,gt-2,0.999499654016075,0.0
Kidney,gt-8,gt-3,0.9995102840352595,0.0
Kidney,gt-8,gt-4,0.9992760103913803,0.0
Kidney,gt-8,gt-5,0.9994570713791452,0.0
Kidney,gt-8,gt-6,0.9994464433988375,0.0
Kidney,gt-8,gt-7,0.9994996646688739,0.0
Kidney,gt-8,gt-9,0.9995315560855124,0.0
Kidney,gt-9,approx,0.8954497941421166,0.0
Kidney,gt-9,gt-0,0.9993932620150088,0.0
Kidney,gt-9,gt-1,0.9995102944620691,0.0
Kidney,gt-9,gt-2,0.99947836269761,0.0
Kidney,gt-9,gt-3,0.9994889920367925,0.0
Kidney,gt-9,gt-4,0.999254716579362,0.0
Kidney,gt-9,gt-5,0.9994357800606802,0.0
Kidney,gt-9,gt-6,0.9994251527603313,0.0
Kidney,gt-9,gt-7,0.9994783738037195,0.0
Kidney,gt-9,gt-8,0.9995315560855124,0.0
