,total_edges,signif_edges,Weighted degree per TF,#(total edges)/#(signif. edges) per TF
ENSG00000111653,114.0,73.0,99.85692590663838,1.5616438356164384
ENSG00000119772,65.0,19.0,28.19589414928035,3.4210526315789473
ENSG00000184047,104.0,39.0,61.89684266624931,2.6666666666666665
ENSG00000124831,68.0,22.0,38.11163915571319,3.090909090909091
ENSG00000117222,93.0,14.0,26.865221477423788,6.642857142857143
ENSG00000147419,183.0,54.0,63.63938318206071,3.388888888888889
ENSG00000167967,104.0,39.0,42.82977570048927,2.6666666666666665
ENSG00000124440,58.0,5.0,13.743368503603536,11.6
ENSG00000157557,93.0,18.0,31.849872596657907,5.166666666666667
ENSG00000211460,258.0,81.0,120.3140527247597,3.185185185185185
ENSG00000078140,224.0,77.0,112.13205418511058,2.909090909090909
ENSG00000162613,62.0,26.0,40.95692269573045,2.3846153846153846
ENSG00000104529,109.0,34.0,63.84076184208056,3.2058823529411766
ENSG00000174306,102.0,22.0,36.74523023917285,4.636363636363637
ENSG00000064490,170.0,72.0,123.26202812889352,2.361111111111111
ENSG00000204060,48.0,10.0,20.263231960419724,4.8
ENSG00000169740,196.0,84.0,93.77991416308015,2.3333333333333335
ENSG00000116044,79.0,23.0,31.38513343543046,3.4347826086956523
ENSG00000162385,129.0,25.0,51.06849333416309,5.16
ENSG00000236287,84.0,35.0,50.78152673414495,2.4
ENSG00000108788,166.0,33.0,58.22259165804276,5.03030303030303
ENSG00000135457,118.0,42.0,43.01079296931969,2.8095238095238093
ENSG00000177463,152.0,66.0,69.97603248782838,2.303030303030303
ENSG00000198315,82.0,12.0,16.5105566936612,6.833333333333333
ENSG00000120053,115.0,32.0,53.17275232339153,3.59375
ENSG00000169083,63.0,18.0,32.25801711824779,3.5
ENSG00000102870,122.0,24.0,49.03899869334866,5.083333333333333
ENSG00000105967,57.0,10.0,21.83145028572484,5.7
ENSG00000100226,83.0,20.0,34.98472977195653,4.15
ENSG00000105497,68.0,17.0,23.523887681357884,4.0
ENSG00000196670,55.0,26.0,30.463177181344978,2.1153846153846154
ENSG00000179886,73.0,14.0,24.49718067162184,5.214285714285714
ENSG00000122482,74.0,34.0,45.425604559007475,2.176470588235294
ENSG00000037965,83.0,18.0,22.46228061314658,4.611111111111111
ENSG00000174165,130.0,23.0,51.759872174023876,5.6521739130434785
ENSG00000153406,106.0,58.0,92.09656174305319,1.8275862068965518
ENSG00000153896,63.0,21.0,34.89205975494781,3.0
ENSG00000143437,123.0,26.0,38.040925577381635,4.730769230769231
ENSG00000073050,104.0,59.0,89.01700945622743,1.7627118644067796
ENSG00000103266,182.0,64.0,100.05145239562158,2.84375
ENSG00000168883,170.0,38.0,55.880906120236,4.473684210526316
ENSG00000100393,114.0,54.0,76.76882053024221,2.111111111111111
ENSG00000079616,49.0,20.0,30.964546537305534,2.45
ENSG00000169554,126.0,32.0,47.772493403752286,3.9375
ENSG00000119541,149.0,48.0,73.15347303334823,3.1041666666666665
ENSG00000197961,81.0,11.0,16.79072168140413,7.363636363636363
ENSG00000167588,66.0,17.0,40.78257191604766,3.8823529411764706
ENSG00000117000,71.0,23.0,43.41318489759237,3.0869565217391304
ENSG00000158710,121.0,23.0,46.05975142025071,5.260869565217392
ENSG00000125870,211.0,100.0,132.60573143856885,2.11
ENSG00000124614,100.0,15.0,41.65537909617838,6.666666666666667
ENSG00000137504,51.0,18.0,32.70122291710933,2.8333333333333335
ENSG00000174197,97.0,51.0,76.06123831108353,1.9019607843137254
ENSG00000166949,94.0,13.0,21.109913921615,7.230769230769231
ENSG00000114503,248.0,86.0,121.63082455224756,2.883720930232558
ENSG00000025293,109.0,24.0,44.13827686266371,4.541666666666667
ENSG00000148200,35.0,12.0,15.209756098462233,2.9166666666666665
ENSG00000173545,170.0,51.0,91.77228660611513,3.3333333333333335
ENSG00000196387,89.0,40.0,64.09122607681724,2.225
ENSG00000140265,92.0,43.0,48.59385885527772,2.13953488372093
ENSG00000123415,189.0,57.0,67.54851204842926,3.3157894736842106
ENSG00000139651,84.0,16.0,27.76097693553379,5.25
ENSG00000169188,136.0,36.0,79.04461877520458,3.7777777777777777
ENSG00000185730,49.0,5.0,9.48220139250602,9.8
ENSG00000118058,84.0,25.0,36.874095319371904,3.36
ENSG00000181220,91.0,17.0,30.606747196391776,5.352941176470588
ENSG00000068305,121.0,26.0,43.78174410252002,4.653846153846154
ENSG00000186812,86.0,29.0,43.689357284562476,2.9655172413793105
ENSG00000182983,66.0,21.0,32.82989270084016,3.142857142857143
ENSG00000170325,49.0,4.0,9.463487272454618,12.25
ENSG00000256294,47.0,9.0,15.2460522511929,5.222222222222222
ENSG00000118689,65.0,4.0,16.068180591133494,16.25
ENSG00000173575,117.0,29.0,39.57121085848321,4.0344827586206895
ENSG00000169016,57.0,11.0,29.40121457254923,5.181818181818182
ENSG00000198783,83.0,25.0,36.479387155825954,3.32
ENSG00000196712,126.0,64.0,89.68155340665848,1.96875
ENSG00000065970,82.0,39.0,42.82945124908241,2.1025641025641026
ENSG00000153814,127.0,29.0,51.20316967467826,4.379310344827586
ENSG00000164631,81.0,32.0,51.60887001953689,2.53125
ENSG00000101199,92.0,17.0,30.934697333543205,5.411764705882353
ENSG00000072736,92.0,11.0,18.865040425945068,8.363636363636363
ENSG00000001167,55.0,5.0,9.71094698110261,11.0
ENSG00000171425,74.0,18.0,25.098231709824645,4.111111111111111
ENSG00000272333,77.0,34.0,57.866108700186516,2.264705882352941
ENSG00000177606,63.0,14.0,24.021808557821164,4.5
ENSG00000088038,112.0,39.0,47.410795856827036,2.871794871794872
ENSG00000005801,66.0,9.0,18.768999523415832,7.333333333333333
ENSG00000012174,124.0,51.0,64.39934271911106,2.4313725490196076
ENSG00000115816,114.0,25.0,31.34698140539104,4.56
ENSG00000020256,95.0,7.0,16.27598963783423,13.571428571428571
ENSG00000184939,84.0,32.0,43.969506087493265,2.625
ENSG00000172262,82.0,45.0,65.93244634473969,1.8222222222222222
ENSG00000140464,58.0,9.0,16.74140820646482,6.444444444444445
ENSG00000116478,78.0,31.0,35.22981049242601,2.5161290322580645
ENSG00000134046,117.0,20.0,34.85498974300639,5.85
ENSG00000163159,195.0,82.0,99.05027836989223,2.3780487804878048
ENSG00000117505,140.0,74.0,103.7331590311322,1.8918918918918919
ENSG00000185024,68.0,21.0,39.31583478278309,3.238095238095238
ENSG00000116132,95.0,9.0,19.950561394651363,10.555555555555555
ENSG00000057935,96.0,33.0,52.527375124706296,2.909090909090909
ENSG00000141646,157.0,82.0,109.3889432735151,1.9146341463414633
ENSG00000092199,101.0,20.0,35.27369156502444,5.05
ENSG00000033050,130.0,54.0,89.9891914797792,2.4074074074074074
ENSG00000111581,66.0,5.0,9.925746547348407,13.2
ENSG00000143799,163.0,36.0,61.71677323651977,4.527777777777778
ENSG00000141568,108.0,15.0,23.157587157626537,7.2
ENSG00000123609,56.0,8.0,19.155449705613005,7.0
ENSG00000160917,49.0,4.0,9.23745796050961,12.25
ENSG00000075426,68.0,3.0,13.208890690882033,22.666666666666668
ENSG00000129351,111.0,30.0,48.54804916322707,3.7
ENSG00000159692,116.0,13.0,28.330268535845253,8.923076923076923
ENSG00000166704,49.0,23.0,37.528665472662304,2.130434782608696
ENSG00000128191,87.0,22.0,27.032986076895824,3.9545454545454546
ENSG00000198815,105.0,33.0,52.70441736781022,3.1818181818181817
ENSG00000204514,48.0,5.0,8.643832860854234,9.6
ENSG00000164107,65.0,6.0,14.572353764004143,10.833333333333334
ENSG00000065534,21.0,5.0,6.737337023853283,4.2
ENSG00000123154,117.0,34.0,45.9029420596299,3.4411764705882355
ENSG00000009950,63.0,18.0,25.067215033096883,3.5
ENSG00000115350,127.0,17.0,41.04234939112418,7.470588235294118
ENSG00000147789,101.0,50.0,62.917305246085576,2.02
ENSG00000078699,118.0,42.0,47.24615876844455,2.8095238095238093
ENSG00000197063,120.0,14.0,26.022820652449543,8.571428571428571
ENSG00000148229,173.0,48.0,66.36527313108338,3.6041666666666665
ENSG00000156599,150.0,23.0,41.2852316471714,6.521739130434782
ENSG00000105323,134.0,22.0,26.369219476534447,6.090909090909091
ENSG00000036549,136.0,67.0,80.20956153317086,2.029850746268657
ENSG00000161057,253.0,55.0,79.841799533247,4.6
ENSG00000169155,67.0,13.0,11.498582508446988,5.153846153846154
ENSG00000143373,81.0,47.0,69.56956633643873,1.7234042553191489
ENSG00000198034,75.0,8.0,19.90016214583451,9.375
ENSG00000153147,163.0,92.0,117.11075680587916,1.7717391304347827
ENSG00000164924,160.0,17.0,36.320367767778855,9.411764705882353
ENSG00000171443,109.0,19.0,32.01261781947431,5.7368421052631575
ENSG00000109133,137.0,32.0,49.29853425445223,4.28125
ENSG00000097007,78.0,3.0,10.559395712344918,26.0
ENSG00000197757,81.0,9.0,20.456702804638567,9.0
ENSG00000044574,56.0,5.0,13.078078592731261,11.2
ENSG00000147421,104.0,16.0,23.201838131264253,6.5
ENSG00000127483,128.0,18.0,24.670528837778324,7.111111111111111
ENSG00000189180,74.0,19.0,28.250073405264466,3.8947368421052633
ENSG00000147124,91.0,27.0,37.35123237662157,3.3703703703703702
ENSG00000149557,84.0,12.0,32.9412377760579,7.0
ENSG00000102349,115.0,10.0,20.18043143972586,11.5
ENSG00000197363,70.0,25.0,39.02585639417273,2.8
ENSG00000106246,80.0,21.0,22.236043753335533,3.8095238095238093
ENSG00000175105,112.0,38.0,59.56219064607613,2.9473684210526314
ENSG00000137492,111.0,13.0,26.384471782327324,8.538461538461538
ENSG00000138303,104.0,15.0,22.917367212856835,6.933333333333334
ENSG00000162086,60.0,8.0,12.24770594786394,7.5
ENSG00000049541,143.0,30.0,33.558945063773116,4.766666666666667
ENSG00000196628,105.0,11.0,27.28198901620503,9.545454545454545
ENSG00000124151,86.0,17.0,31.322226915175676,5.0588235294117645
ENSG00000163848,143.0,73.0,99.58620740871355,1.9589041095890412
ENSG00000142168,222.0,58.0,106.04784141593842,3.8275862068965516
ENSG00000108064,102.0,35.0,59.915003924469836,2.914285714285714
ENSG00000256223,46.0,8.0,11.455856418309535,5.75
ENSG00000175550,157.0,54.0,74.90124039942843,2.9074074074074074
ENSG00000012817,59.0,6.0,13.207311117229445,9.833333333333334
ENSG00000198818,170.0,15.0,41.259457022487794,11.333333333333334
ENSG00000172115,112.0,13.0,37.39405460056724,8.615384615384615
ENSG00000214575,82.0,11.0,20.23980567924872,7.454545454545454
ENSG00000185630,61.0,17.0,30.1112103801451,3.588235294117647
ENSG00000128604,63.0,6.0,17.805518518051002,10.5
ENSG00000116001,62.0,14.0,22.759776537188603,4.428571428571429
ENSG00000185219,97.0,35.0,48.294980717630445,2.7714285714285714
ENSG00000181450,78.0,14.0,21.970558574408162,5.571428571428571
ENSG00000173473,89.0,29.0,42.04851387368562,3.0689655172413794
ENSG00000126254,124.0,28.0,33.565315397514404,4.428571428571429
ENSG00000124535,110.0,53.0,70.84660761244875,2.0754716981132075
ENSG00000106261,70.0,20.0,25.846036277460428,3.5
ENSG00000148516,107.0,15.0,25.209983627776033,7.133333333333334
ENSG00000172059,56.0,4.0,10.38721066011688,14.0
ENSG00000100811,182.0,38.0,56.55118783097803,4.7894736842105265
ENSG00000176842,53.0,25.0,38.51307966476102,2.12
ENSG00000234444,36.0,5.0,8.805786365993118,7.2
ENSG00000133119,38.0,5.0,8.637217953699892,7.6
ENSG00000152804,63.0,5.0,12.404749164928642,12.6
ENSG00000180008,129.0,21.0,30.68747001566885,6.142857142857143
ENSG00000198146,125.0,19.0,43.77867158647236,6.578947368421052
ENSG00000188976,140.0,58.0,91.46892580133293,2.413793103448276
ENSG00000177932,77.0,17.0,23.505803132482477,4.529411764705882
ENSG00000160094,87.0,14.0,22.41175331935514,6.214285714285714
ENSG00000266265,50.0,8.0,21.37098825875488,6.25
ENSG00000147601,128.0,50.0,69.45353094292432,2.56
ENSG00000069248,190.0,49.0,65.02375222768272,3.877551020408163
ENSG00000109118,93.0,54.0,62.98685527792858,1.7222222222222223
ENSG00000140307,246.0,65.0,103.50809872133733,3.7846153846153845
ENSG00000106511,66.0,10.0,21.147575259025214,6.6
ENSG00000119574,110.0,24.0,34.34550469074534,4.583333333333333
ENSG00000095794,86.0,18.0,27.29597485311481,4.777777777777778
ENSG00000169641,102.0,20.0,27.97462848427791,5.1
ENSG00000137166,86.0,11.0,21.194757788043226,7.818181818181818
ENSG00000115415,43.0,2.0,7.539821582282749,21.5
ENSG00000196605,99.0,10.0,17.17338017219363,9.9
ENSG00000175792,120.0,27.0,45.03794084706291,4.444444444444445
ENSG00000125651,88.0,26.0,35.85896147157841,3.3846153846153846
ENSG00000173153,122.0,17.0,34.077934578563706,7.176470588235294
ENSG00000108055,139.0,50.0,69.96377598089303,2.78
ENSG00000163541,117.0,18.0,39.7531344213298,6.5
ENSG00000100644,94.0,25.0,33.10702969232479,3.76
ENSG00000185670,54.0,10.0,16.038323783745838,5.4
ENSG00000112182,36.0,2.0,6.2048593951566,18.0
ENSG00000134758,94.0,30.0,44.862636755768136,3.1333333333333333
ENSG00000089775,80.0,17.0,21.65911120331613,4.705882352941177
ENSG00000213676,105.0,29.0,28.043878177562256,3.6206896551724137
ENSG00000075785,176.0,29.0,56.34825247434895,6.068965517241379
ENSG00000197381,50.0,3.0,9.985794819103537,16.666666666666668
ENSG00000071794,124.0,29.0,38.89923695004298,4.275862068965517
ENSG00000256087,75.0,9.0,18.04327664544713,8.333333333333334
ENSG00000122034,124.0,32.0,47.49922685940994,3.875
ENSG00000100902,200.0,41.0,87.70267428934017,4.878048780487805
ENSG00000167232,52.0,7.0,13.186709482102849,7.428571428571429
ENSG00000173068,112.0,19.0,34.720050183071024,5.894736842105263
ENSG00000186272,43.0,5.0,7.416703520478701,8.6
ENSG00000102103,109.0,32.0,43.882261550634176,3.40625
ENSG00000130726,98.0,43.0,41.78570138877548,2.2790697674418605
ENSG00000148843,86.0,18.0,25.383184986960835,4.777777777777778
ENSG00000170689,45.0,3.0,8.4166207160968,15.0
ENSG00000188986,175.0,46.0,63.98495349151166,3.8043478260869565
ENSG00000263002,43.0,3.0,6.682678777293666,14.333333333333334
ENSG00000180855,29.0,3.0,6.082786348189302,9.666666666666666
ENSG00000174953,124.0,36.0,50.483285379470004,3.4444444444444446
ENSG00000205250,129.0,48.0,83.61842720699867,2.6875
ENSG00000089094,68.0,26.0,26.82689914901072,2.6153846153846154
ENSG00000127081,96.0,18.0,22.832514454770187,5.333333333333333
ENSG00000132170,81.0,16.0,25.55891127985477,5.0625
ENSG00000116151,49.0,24.0,22.253312416412058,2.0416666666666665
ENSG00000086102,112.0,23.0,40.15181149555502,4.869565217391305
ENSG00000104388,111.0,14.0,30.04360747879419,7.928571428571429
ENSG00000132341,175.0,61.0,75.00920001858498,2.8688524590163933
ENSG00000188227,59.0,22.0,24.606049749696375,2.6818181818181817
ENSG00000096401,109.0,29.0,41.78875575684855,3.7586206896551726
ENSG00000111358,173.0,41.0,53.94667403392303,4.219512195121951
ENSG00000104805,70.0,7.0,17.79557734081009,10.0
ENSG00000168724,185.0,63.0,86.14562016225534,2.9365079365079363
ENSG00000223547,46.0,5.0,8.851347941082304,9.2
ENSG00000142409,63.0,9.0,13.148654738223915,7.0
ENSG00000123268,95.0,23.0,30.93399728043379,4.130434782608695
ENSG00000134954,75.0,13.0,21.21328341994435,5.769230769230769
ENSG00000025156,81.0,13.0,14.962431577591731,6.230769230769231
ENSG00000112651,142.0,48.0,64.95815950170837,2.9583333333333335
ENSG00000128652,79.0,3.0,10.959404878382335,26.333333333333332
ENSG00000213096,42.0,10.0,10.611617025971729,4.2
ENSG00000119508,40.0,1.0,7.262439375341882,40.0
ENSG00000122729,97.0,14.0,26.08637568431969,6.928571428571429
ENSG00000068323,160.0,29.0,50.76578019159958,5.517241379310345
ENSG00000179195,140.0,27.0,41.19065319759188,5.185185185185185
ENSG00000111145,77.0,10.0,23.63819929491618,7.7
ENSG00000181638,74.0,17.0,22.833727798757447,4.352941176470588
ENSG00000142065,47.0,19.0,22.78999628765336,2.473684210526316
ENSG00000084676,128.0,43.0,46.31585790194037,2.9767441860465116
ENSG00000161914,75.0,25.0,27.092863724860887,3.0
ENSG00000002330,115.0,39.0,55.74412991532984,2.948717948717949
ENSG00000113580,73.0,15.0,16.329939488851757,4.866666666666666
ENSG00000181666,84.0,32.0,39.92941207992296,2.625
ENSG00000249709,34.0,6.0,9.082798863572002,5.666666666666667
ENSG00000182944,107.0,19.0,32.077060731372846,5.631578947368421
ENSG00000179912,106.0,27.0,23.354041898794396,3.925925925925926
ENSG00000165804,127.0,16.0,30.68492122226308,7.9375
ENSG00000153250,147.0,35.0,55.77500501941176,4.2
ENSG00000130522,62.0,5.0,11.587028171918776,12.4
ENSG00000204231,96.0,31.0,34.74152861295849,3.096774193548387
ENSG00000170653,93.0,26.0,25.48083216536378,3.576923076923077
ENSG00000117448,188.0,37.0,64.93370672557293,5.081081081081081
ENSG00000159216,39.0,11.0,18.505688974534852,3.5454545454545454
ENSG00000060971,157.0,32.0,36.98556177246096,4.90625
ENSG00000174446,107.0,18.0,27.68311732892425,5.944444444444445
ENSG00000169957,69.0,21.0,24.36049436265625,3.2857142857142856
ENSG00000162191,90.0,22.0,30.413218993847693,4.090909090909091
ENSG00000205903,93.0,17.0,24.892684828812612,5.470588235294118
ENSG00000160685,96.0,23.0,35.74651410181743,4.173913043478261
ENSG00000133740,41.0,12.0,14.94225645693483,3.4166666666666665
ENSG00000196233,104.0,19.0,27.936400707727866,5.473684210526316
ENSG00000074219,53.0,6.0,10.061771091346591,8.833333333333334
ENSG00000121413,71.0,18.0,22.406257713239956,3.9444444444444446
ENSG00000136630,38.0,3.0,9.833408865385794,12.666666666666666
ENSG00000136367,30.0,1.0,4.742386703436353,30.0
ENSG00000198824,85.0,17.0,22.087090572738788,5.0
ENSG00000166716,113.0,19.0,22.163656311008307,5.947368421052632
ENSG00000197162,53.0,29.0,26.623852485242978,1.8275862068965518
ENSG00000160741,86.0,17.0,26.07240819838417,5.0588235294117645
ENSG00000126432,159.0,45.0,58.04168653850005,3.533333333333333
ENSG00000025434,78.0,2.0,12.987911444070434,39.0
ENSG00000198795,95.0,18.0,23.570261738612224,5.277777777777778
ENSG00000140382,81.0,17.0,18.196089185971484,4.764705882352941
ENSG00000155592,79.0,9.0,16.581122989418994,8.777777777777779
ENSG00000265241,122.0,38.0,47.46257814462977,3.210526315789474
ENSG00000146007,114.0,28.0,32.826350960729954,4.071428571428571
ENSG00000196458,71.0,16.0,21.787732732055815,4.4375
ENSG00000180667,50.0,5.0,8.286315029271533,10.0
ENSG00000180035,60.0,18.0,23.70538205334369,3.3333333333333335
ENSG00000065978,152.0,30.0,43.20635007870454,5.066666666666666
ENSG00000196757,74.0,6.0,10.02004665134476,12.333333333333334
ENSG00000100784,49.0,18.0,21.44359865038404,2.7222222222222223
ENSG00000099364,82.0,29.0,33.61437628562455,2.8275862068965516
ENSG00000183309,79.0,24.0,27.9581156677505,3.2916666666666665
ENSG00000070476,52.0,6.0,8.392494150642955,8.666666666666666
ENSG00000083844,60.0,6.0,11.19404189228586,10.0
ENSG00000172466,99.0,38.0,35.533242679132265,2.6052631578947367
ENSG00000109381,63.0,18.0,22.109877390719834,3.5
ENSG00000106459,98.0,32.0,41.08206537889101,3.0625
ENSG00000176024,30.0,4.0,7.123486398295868,7.5
ENSG00000104903,75.0,9.0,15.310828510982367,8.333333333333334
ENSG00000118260,135.0,46.0,58.135420516548564,2.9347826086956523
ENSG00000196323,88.0,51.0,66.43845893943323,1.7254901960784315
ENSG00000198169,64.0,6.0,9.435018268760729,10.666666666666666
ENSG00000197576,55.0,3.0,7.391464674168217,18.333333333333332
ENSG00000165821,77.0,34.0,35.156226010968595,2.264705882352941
ENSG00000077150,70.0,9.0,19.0536633854242,7.777777777777778
ENSG00000169057,112.0,17.0,21.410621245990875,6.588235294117647
ENSG00000078142,167.0,70.0,78.34981169892342,2.3857142857142857
ENSG00000011485,79.0,12.0,23.10647407468578,6.583333333333333
ENSG00000196646,60.0,24.0,28.657860968197497,2.5
ENSG00000080608,92.0,18.0,31.187614343144592,5.111111111111111
ENSG00000171720,197.0,48.0,65.48613422993185,4.104166666666667
ENSG00000173276,36.0,6.0,14.998170421403387,6.0
ENSG00000197024,60.0,14.0,13.615548427171962,4.285714285714286
ENSG00000185022,47.0,6.0,12.004494679211476,7.833333333333333
ENSG00000099246,153.0,41.0,55.89644392258694,3.731707317073171
ENSG00000158773,53.0,4.0,11.997031359407433,13.25
ENSG00000140262,111.0,35.0,43.98242209632834,3.1714285714285713
ENSG00000151650,55.0,2.0,8.474775254316816,27.5
ENSG00000100105,85.0,32.0,31.772443842559486,2.65625
ENSG00000197114,102.0,28.0,45.105858925323076,3.642857142857143
ENSG00000139154,98.0,31.0,32.34122144842173,3.161290322580645
ENSG00000204304,100.0,24.0,34.03703285932194,4.166666666666667
ENSG00000167637,69.0,22.0,26.152152021544754,3.1363636363636362
ENSG00000254004,78.0,33.0,31.940241225187417,2.3636363636363638
ENSG00000198081,87.0,16.0,23.767832523670382,5.4375
ENSG00000171817,27.0,2.0,5.070028957501593,13.5
ENSG00000197157,143.0,29.0,31.44857029597617,4.931034482758621
ENSG00000124343,47.0,4.0,12.754966168917345,11.75
ENSG00000089050,69.0,19.0,21.942156050693562,3.6315789473684212
ENSG00000177383,107.0,49.0,63.31858388132789,2.183673469387755
ENSG00000102317,50.0,2.0,8.25758548244448,25.0
ENSG00000114126,109.0,15.0,21.175447704013006,7.266666666666667
ENSG00000119559,127.0,59.0,66.37498015024144,2.152542372881356
ENSG00000143365,52.0,8.0,13.288472733850945,6.5
ENSG00000198455,85.0,20.0,24.444698973285217,4.25
ENSG00000244687,105.0,17.0,22.940511040024738,6.176470588235294
ENSG00000163795,95.0,20.0,30.081195399193717,4.75
ENSG00000092607,54.0,8.0,10.00740611617719,6.75
ENSG00000170631,60.0,20.0,25.49417382888101,3.0
ENSG00000130816,132.0,26.0,36.23743802978639,5.076923076923077
ENSG00000263001,47.0,6.0,10.271765368939642,7.833333333333333
ENSG00000011260,141.0,53.0,66.27953430465718,2.660377358490566
ENSG00000159348,184.0,60.0,67.99353537073078,3.066666666666667
ENSG00000160113,106.0,24.0,35.84324646303688,4.416666666666667
ENSG00000196110,72.0,5.0,10.73452699489107,14.4
ENSG00000147133,89.0,25.0,22.63696448453393,3.56
ENSG00000124459,57.0,24.0,25.38151995018884,2.375
ENSG00000114853,123.0,10.0,24.671323769660592,12.3
ENSG00000111269,130.0,22.0,40.50106732057819,5.909090909090909
ENSG00000185624,152.0,31.0,43.02953159048363,4.903225806451613
