,total_edges,signif_edges,Weighted degree per TF,#(total edges)/#(signif. edges) per TF
ENSG00000148308,117.0,51.0,96.6878159043905,2.2941176470588234
ENSG00000104852,75.0,36.0,67.7844669316984,2.0833333333333335
ENSG00000103067,55.0,12.0,24.1077516207528,4.583333333333333
ENSG00000174586,35.0,13.0,20.076108289407372,2.6923076923076925
ENSG00000172819,92.0,27.0,47.40815372696989,3.4074074074074074
ENSG00000154832,126.0,51.0,53.52009667309586,2.4705882352941178
ENSG00000100151,85.0,42.0,69.81309300964655,2.0238095238095237
ENSG00000083307,65.0,34.0,56.984976618173214,1.911764705882353
ENSG00000066336,59.0,4.0,23.505143189112033,14.75
ENSG00000174282,100.0,28.0,41.74449442057068,3.5714285714285716
ENSG00000186350,129.0,32.0,64.59732280145442,4.03125
ENSG00000173120,107.0,71.0,142.80097754937748,1.5070422535211268
ENSG00000164011,83.0,20.0,44.2563289652771,4.15
ENSG00000113658,111.0,60.0,97.39244384473959,1.85
ENSG00000132356,166.0,36.0,62.624961273932534,4.611111111111111
ENSG00000151612,66.0,25.0,30.810723709774628,2.64
ENSG00000185049,110.0,69.0,122.32379060680806,1.5942028985507246
ENSG00000065029,108.0,63.0,97.38152559457059,1.7142857142857142
ENSG00000168214,97.0,29.0,40.66730499864631,3.3448275862068964
ENSG00000143742,196.0,65.0,135.57003463101958,3.0153846153846153
ENSG00000171634,120.0,68.0,117.29116922209191,1.7647058823529411
ENSG00000186660,257.0,100.0,160.65436320318284,2.57
ENSG00000116560,76.0,23.0,60.57017074416212,3.3043478260869565
ENSG00000131061,84.0,9.0,27.427243388521994,9.333333333333334
ENSG00000198182,29.0,8.0,16.523651601503758,3.625
ENSG00000197619,31.0,19.0,19.68129417005306,1.631578947368421
ENSG00000197724,98.0,52.0,119.78888620748786,1.8846153846153846
ENSG00000072364,144.0,51.0,108.87309708111505,2.823529411764706
ENSG00000115966,127.0,60.0,94.00675673183089,2.1166666666666667
ENSG00000169288,183.0,52.0,112.7421379199296,3.519230769230769
ENSG00000151789,71.0,11.0,26.868982679061023,6.454545454545454
ENSG00000140396,107.0,36.0,58.98155659531733,2.9722222222222223
ENSG00000124226,129.0,68.0,104.72301878312186,1.8970588235294117
ENSG00000132604,101.0,50.0,79.97775111086315,2.02
ENSG00000102974,115.0,60.0,81.93486340366563,1.9166666666666667
ENSG00000124664,69.0,15.0,34.21831787273591,4.6
ENSG00000170100,124.0,38.0,57.10287197638688,3.263157894736842
ENSG00000139624,131.0,54.0,83.16233919791947,2.425925925925926
ENSG00000198728,50.0,28.0,34.84230065382686,1.7857142857142858
ENSG00000089335,51.0,17.0,28.070001146640298,3.0
ENSG00000166478,79.0,8.0,22.375628672087412,9.875
ENSG00000105379,125.0,17.0,44.29780107646274,7.352941176470588
ENSG00000100320,109.0,46.0,76.81784121574596,2.369565217391304
ENSG00000006194,56.0,30.0,44.91080146101991,1.8666666666666667
ENSG00000111669,104.0,16.0,42.15109906544176,6.5
ENSG00000137106,178.0,59.0,81.70599556890787,3.016949152542373
ENSG00000115568,95.0,63.0,101.11823893999244,1.507936507936508
ENSG00000074800,133.0,25.0,44.182853846066706,5.32
ENSG00000169375,100.0,42.0,52.34558044520088,2.380952380952381
ENSG00000101811,96.0,14.0,34.4438598141799,6.857142857142857
ENSG00000119396,165.0,76.0,148.69623360153992,2.1710526315789473
ENSG00000178028,116.0,42.0,53.1081681152816,2.761904761904762
ENSG00000143379,110.0,62.0,92.33371615213602,1.7741935483870968
ENSG00000071564,76.0,32.0,37.31870664321348,2.375
ENSG00000197647,47.0,16.0,25.121876664353238,2.9375
ENSG00000077463,135.0,54.0,88.51721387834338,2.5
ENSG00000198040,73.0,37.0,65.77352494585067,1.972972972972973
ENSG00000136451,130.0,65.0,87.49614645612276,2.0
ENSG00000185129,87.0,45.0,61.632094485023046,1.9333333333333333
ENSG00000136942,126.0,27.0,71.36803034441166,4.666666666666667
ENSG00000175727,105.0,6.0,23.87086971055253,17.5
ENSG00000100030,274.0,122.0,158.44351188827852,2.2459016393442623
ENSG00000073614,108.0,40.0,68.46691081274174,2.7
ENSG00000166860,56.0,9.0,16.201207665766084,6.222222222222222
ENSG00000185252,80.0,22.0,39.4291081225263,3.6363636363636362
ENSG00000106628,165.0,52.0,73.4195423630133,3.173076923076923
ENSG00000084093,105.0,41.0,65.66061464313596,2.5609756097560976
ENSG00000136504,106.0,58.0,90.46257536680413,1.8275862068965518
ENSG00000166526,98.0,58.0,102.13197527379778,1.6896551724137931
ENSG00000159267,81.0,23.0,26.645333652650155,3.5217391304347827
ENSG00000107281,63.0,9.0,15.971613509628364,7.0
ENSG00000125817,112.0,29.0,50.732953157470845,3.8620689655172415
ENSG00000112837,84.0,14.0,22.399937411543004,6.0
ENSG00000130159,117.0,35.0,57.994952168758786,3.342857142857143
ENSG00000188786,99.0,14.0,32.022272848976286,7.071428571428571
ENSG00000172845,131.0,69.0,95.60083470533519,1.8985507246376812
ENSG00000089009,115.0,19.0,38.25987823469059,6.052631578947368
ENSG00000088280,58.0,4.0,11.811353169399231,14.5
ENSG00000188283,51.0,7.0,13.06286325964786,7.285714285714286
