tissue,num_non_tfs,num_tfs,mae,f1_005,f1_001,abs_time_saving,rel_time_saving,abs_emission_saving,rel_emission_saving,total_runtime,correlation
Kidney,1,-1,0.01043935362098809,0.9653598024238561,0.9003224417102215,41767.73020815849,76.5116807335133,1.7773596165061019,120.50400762221356,553.1293940544128,0.9936659446365417
Kidney,2,-1,0.010171538150278756,0.9646893407278204,0.9089618690080978,41759.97731733322,75.45408500696578,1.7769813970704855,117.51555510313545,560.8822848796844,0.9942496909481764
Kidney,3,-1,0.009608573285721457,0.9660812942721919,0.905334752594587,41840.681094408035,88.13568061528228,1.7802365574985182,149.40421555544177,480.1785078048706,0.9950132197215862
Kidney,4,-1,0.009559661366305938,0.9657208880293121,0.9092974771018295,41844.990725040436,88.93386735790766,1.780301558199811,150.2181868332858,475.8688771724701,0.9951116888641801
Kidney,5,-1,0.009616957064616918,0.9656979029169387,0.9038713910761155,41816.74639701843,83.95110297871817,1.7797061529081752,143.07793483171494,504.11320519447327,0.9949978395817201
Kidney,6,-1,0.00955794086907174,0.9655170253520421,0.9053746515567996,41899.96547746658,100.54989393762656,1.780015583995656,146.70184867678446,420.89412474632263,0.9950786584351818
Kidney,7,-1,0.009541168824977738,0.965347171053663,0.9059055394131074,41723.156086444855,70.80577323998246,1.7754856020242094,107.01928136749407,597.7035157680511,0.9950801122262097
Kidney,8,-1,0.009780305603197852,0.9654414783750662,0.9054251827452572,41503.12852692604,51.754006764835836,1.769314397810318,78.20188010899442,817.7310752868652,0.9948292686209589
Kidney,9,-1,0.009551423392260833,0.9656509234053449,0.9085396429279442,41233.298400878906,38.91354302663818,1.7665657078717207,69.82711358835138,1087.5612013339996,0.9950794343996919
Kidney,10,-1,0.00947475583721643,0.9656244953885371,0.9070124499069075,41566.462371110916,56.09890632868905,1.773951010909459,98.03579229941613,754.3972311019897,0.9952163677868877
Kidney,20,-1,0.009400135157955873,0.9658965862051102,0.9076508975426503,41493.404296875,51.14579522205183,1.7721388928844928,89.19451591672302,827.4553053379059,0.9952525824758641
Kidney,30,-1,0.009457049520504373,0.9655752758773071,0.9060049281154808,41227.59937286377,38.710691623172174,1.7630316920057851,61.37629250820299,1093.2602293491364,0.9952009577547769
Kidney,40,-1,0.009284090199133448,0.9662430107763119,0.9078447608939894,41391.548802137375,45.54004924808064,1.7660685584675797,68.50030225614763,929.310800075531,0.9953897089155879
Kidney,50,-1,0.009374729223569255,0.9661735636814525,0.9077768096097591,41300.951907634735,41.49479391830319,1.7640103364246407,63.504610428189466,1019.9076945781708,0.9952834859122184
Kidney,60,-1,0.009314746229708643,0.965737324189929,0.9080658340142407,41576.63809680939,56.86594554838406,1.7693545356332019,78.33908043613596,744.2215054035187,0.9953722463541135
