,Adipose_Tissue,Adrenal_Gland,Bladder,Blood,Blood_Vessel,Brain,Breast,Cervix_Uteri,Colon,Esophagus,Fallopian_Tube,Heart,Kidney,Liver,Lung,Muscle,Nerve,Ovary,Pancreas,Pituitary,Prostate,Salivary_Gland,Skin,Small_Intestine,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina
Adipose_Tissue,,0.9349872106796164,0.9795319146716919,0.9595809932360605,0.8818705639337133,0.9481544168714976,0.856326866012326,0.984115693282011,0.9062208001812159,0.9104451967812204,0.9862576313413478,0.9091816339599313,0.9535979822518627,0.9432770463207549,0.9017305924655484,0.9346407128798204,0.8848914034021871,0.9405102668547776,0.9326003421871932,0.9455090493750283,0.9232738067612423,0.9384860840276547,0.9324220631802435,0.9454965639675666,0.9326287377441017,0.9239934674230703,0.9678778204898136,0.9049297290138887,0.940183305281947,0.9395303039312736
Adrenal_Gland,0.9349872106796164,,0.9853810868613045,0.967743309271444,0.9441317554565947,0.9533706042550081,0.9502266208703658,0.9887379153464945,0.9413679114777327,0.9399791923398564,0.9893647521500816,0.9319377144484963,0.9625246102701481,0.94280383522831,0.945587368496258,0.9565292026283516,0.942732508981478,0.9610997385435457,0.9421853151427234,0.9482357766843528,0.9432739117728818,0.9551300276236306,0.9569036508372221,0.9629088010782206,0.9512179931727746,0.9469121387098323,0.9701537079815815,0.9354436343545889,0.9631175216269702,0.9633128943135619
Bladder,0.9795319146716919,0.9853810868613045,,0.9890451220140628,0.9786893143847589,0.9864302049458737,0.9816249286488682,0.9925938060223201,0.9735105335830587,0.9728441020328887,0.9916163359439109,0.9820954156442372,0.9888577692242163,0.9865524739259691,0.9824653856288094,0.9855598093841079,0.9824459751959213,0.9870425734396323,0.98441595250576,0.9880256328075662,0.9765475986550235,0.9848437906869333,0.9838556834102036,0.9837706525670521,0.9859955959858494,0.9779180053483137,0.9905257450942004,0.9831802388883208,0.9858826277427936,0.9830516558818385
Blood,0.9595809932360605,0.967743309271444,0.9890451220140628,,0.9652761463865803,0.964216217177906,0.9648852597398176,0.9913877648085438,0.9660362782503019,0.962091636809422,0.9895392199088598,0.9613418111722138,0.9732697902610622,0.9677086571643432,0.9600342063508418,0.9691628679759724,0.9661054898306591,0.976930739890846,0.9651900585202537,0.9728901263163565,0.9678744977739169,0.9693570137434367,0.9626931066284738,0.9712086508099377,0.9493850465843876,0.966614699596901,0.9775582843922406,0.9651694085216499,0.9767086822173122,0.9747390949715218
Blood_Vessel,0.8818705639337133,0.9441317554565947,0.9786893143847589,0.9652761463865803,,0.9521749626170256,0.914031088158864,0.9834925849427042,0.90194929670968,0.9066592891141279,0.9869729586731911,0.9206645106656139,0.9626107566324817,0.9553415582891851,0.9166995642825535,0.9402949914041764,0.8924370811817796,0.9385776420296191,0.9430767554215554,0.9487729882364591,0.9233916014684805,0.9464142163546156,0.9416877519561007,0.9501644035908932,0.9428101412812077,0.9324124801921028,0.9712113005001654,0.9118663045343381,0.9332916652960075,0.9415733244612029
Brain,0.9481544168714976,0.9533706042550081,0.9864302049458737,0.964216217177906,0.9521749626170256,,0.9558559778801154,0.9893587021536773,0.9506210767363675,0.9504941846085517,0.9841025338883345,0.9398880305659874,0.9631015396780074,0.9614233977043495,0.9578454004079175,0.9575449952377943,0.9479252276206591,0.9701541074006729,0.9501073311676651,0.9491062728005094,0.9540728075233116,0.9615719573263662,0.9607011705420123,0.9670183345283212,0.9550300139047468,0.9595683409691959,0.9672932330827068,0.9460032591278827,0.970130372507815,0.9696750783401666
Breast,0.856326866012326,0.9502266208703658,0.9816249286488682,0.9648852597398176,0.914031088158864,0.9558559778801154,,0.9848492281702398,0.9288218999238423,0.9288054285264679,0.9877913013209461,0.9340093831045837,0.9620754445733467,0.955659197801518,0.9242991467873933,0.9481497952452425,0.9076783683582808,0.9505480401468286,0.9427140134945651,0.9536034834830447,0.9289098548223731,0.9437878542271475,0.9422909700288051,0.9546735165902549,0.9442245980851411,0.9390911930740568,0.9714478704036551,0.9188006670887995,0.946226417233303,0.9479027635365171
Cervix_Uteri,0.984115693282011,0.9887379153464945,0.9925938060223201,0.9913877648085438,0.9834925849427042,0.9893587021536773,0.9848492281702398,,0.9828769168744681,0.9803479143107767,0.99201879934003,0.9868091851870715,0.9903115621885962,0.9894192854190405,0.9855154779485047,0.9898174667635617,0.9843671566869846,0.9845490367213873,0.9869541778975741,0.9890564608767948,0.9826977861458336,0.9862075396522638,0.9851608917918602,0.9880115066374107,0.9867006259235677,0.9859319821894672,0.9918685583710214,0.9837827843430408,0.9812445754749473,0.9793917119182025
Colon,0.9062208001812159,0.9413679114777327,0.9735105335830587,0.9660362782503019,0.90194929670968,0.9506210767363675,0.9288218999238423,0.9828769168744681,,0.8684574062199667,0.986558434830453,0.9207256002296988,0.9594437045740081,0.9497900019456689,0.9232888653137622,0.9469618906952165,0.9201333647594917,0.9458257434620362,0.9382216947647408,0.9492928099204667,0.9101984107390046,0.9433434052513237,0.944836911258953,0.898020656947602,0.9365831518944756,0.8823004117239981,0.9687463162983517,0.9131571364873631,0.9415268689272258,0.9318392077884265
Esophagus,0.9104451967812204,0.9399791923398564,0.9728441020328887,0.962091636809422,0.9066592891141279,0.9504941846085517,0.9288054285264679,0.9803479143107767,0.8684574062199667,,0.9857474106201242,0.9191405870582978,0.9612070697503544,0.9473392116430721,0.9260451395332467,0.9455470297808107,0.9218826008774861,0.9513723508752093,0.9369597564566333,0.9491751791905717,0.9072650660423702,0.9251554626055422,0.9267987657432446,0.9353378171149932,0.9407940760978311,0.902146415251806,0.9673566180815818,0.9208891242518729,0.9456098417102646,0.9039353714132475
