tissue,num_non_tfs,num_tfs,mae,f1_005,f1_001,abs_time_saving,rel_time_saving,abs_emission_saving,rel_emission_saving,total_runtime,correlation,tp_001
Breast,1,-1,0.00809264133976183,0.8656035331327355,0.0,322637.54316568375,229.60379855855888,12.655608400322148,366.4471978301475,1411.339379310608,0.8419199671024173,0
Breast,2,-1,0.008202196842481082,0.866780032550715,0.0,322852.0036699772,270.7449260814689,12.657259645267747,384.79493260095364,1196.8788750171661,0.8458990367996467,0
Breast,3,-1,0.007991245132526168,0.8674493040603899,0.0,322926.19399333,288.63648966991025,12.660374143742622,424.9239861132153,1122.6885516643524,0.8443074812354108,0
Breast,4,-1,0.007956508678215141,0.8690984731813716,0.0,322709.12770080566,241.87177523603378,12.654891772748222,359.01784207727894,1339.7548441886902,0.8445073825751712,0
Breast,5,-1,0.007839175675738441,0.8666253999529211,0.0,322938.62103009224,291.86716660494517,12.65956462581954,413.70990137267705,1110.2615149021149,0.8479962717368548,0
Breast,6,-1,0.008039212159479024,0.8702493051593554,0.0,322832.2617573738,266.3515910974743,12.65710815731838,383.03548376577163,1216.6207876205444,0.8484826898251596,0
Breast,7,-1,0.007868937820087,0.8700984155789767,0.0,322650.3439838886,231.70536126568524,12.651116436176341,324.3724218280179,1398.5385611057281,0.8460327706616599,0
Breast,8,-1,0.007955832045573612,0.8706530107063242,0.0,322781.78037905693,255.7401378169514,12.654362652364172,353.7228676709605,1267.1021659374237,0.8479248192501363,0
Breast,9,-1,0.007854847665668768,0.8692482327422988,0.0,322734.0530524254,246.45696219656122,12.652477501066455,336.06405053845197,1314.8294925689697,0.8478906572881014,0
Breast,10,-1,0.007824559921435404,0.8693627839626965,0.0,322757.4559357166,250.92318852422426,12.65354291132903,345.82114895919995,1291.4266092777252,0.8456650879263758,0
Breast,20,-1,0.007846477262561208,0.8713596243314927,0.0,322376.42623758316,193.75626203747694,12.644713450733025,278.7506155593017,1672.4563074111938,0.8490593126724898,0
Breast,30,-1,0.0079514508674261,0.8700999795532115,0.0,322092.8074758053,165.66280489395277,12.639088024503708,248.09440676986588,1956.0750691890717,0.8452362731228844,0
Breast,40,-1,0.007792936271604265,0.8690936691584294,0.0,322259.4080646038,181.08605967617456,12.637873502030375,242.34029408935203,1789.4744803905487,0.8487469909814552,0
Breast,50,-1,0.007916010896439932,0.8711680187460444,0.0,322447.99005174637,202.4176413542578,12.634640532465918,228.24852771055717,1600.8924932479858,0.8463001721978366,0
Breast,60,-1,0.007711593832234511,0.8710956130405083,0.0,322342.99244999886,189.95882764994272,12.632669161012071,220.4325662706049,1705.8900949954987,0.8542677472259634,0
Breast,70,-1,0.007668398078141296,0.8706627134981184,0.0,322095.4491267204,165.88683264737395,12.625188721611202,195.0839318061864,1953.4334182739258,0.8497903786027263,0
Breast,80,-1,0.007804528727134668,0.8706086725990937,0.0,322063.33579564095,163.2038543794149,12.620174771574687,181.12327153023426,1985.5467493534088,0.8456821149147984,0
Breast,90,-1,0.007816498112677265,0.8703991343653467,0.0,322073.8404569626,164.07188713022606,12.617662514273054,174.85362280311895,1975.0420880317688,0.8503755699313256,0
Breast,100,-1,0.007830844649703966,0.8712783607636142,0.0,321728.62293577194,139.66061437995413,12.608263499116264,154.8055057048335,2320.259609222412,0.8533321148591303,0
Kidney,1,-1,0.014611887256978208,0.8275409249871688,0.0,274473.26220202446,346.1138315497966,5.72569970343557,323.19360990935644,795.3122625350952,0.8183194383518834,0
Kidney,2,-1,0.01410789002941464,0.8316873761710246,0.0,274517.1991195679,366.35295035879324,5.726662468043583,341.7059362020463,751.375344991684,0.8256907083953847,0
Kidney,3,-1,0.014022173489314038,0.8315909960357317,0.0,274593.8283531666,407.9587415424793,5.728511406394886,383.94011296522183,674.7461113929749,0.8297882524432407,0
Kidney,4,-1,0.013979608472079111,0.8343482962940397,0.0,274603.28121995926,413.7552525878106,5.7280201754970905,371.73319301631693,665.293244600296,0.8303669159984935,0
Kidney,5,-1,0.014057564424893245,0.8324244108378559,0.0,274767.2466967106,549.0790499110909,5.7312613331047,470.4153309015951,501.3277678489685,0.8300429012096588,0
Kidney,6,-1,0.013925010656933886,0.8330227488484934,0.0,274793.94827342033,579.9692044045154,5.732035099913254,502.24505102518515,474.6261911392212,0.8303776206539474,0
Kidney,7,-1,0.01411472926469947,0.8291735710647866,0.0,273855.43802547455,194.79263774614256,5.715455102440113,205.009793109424,1413.1364390850067,0.8274353097550033,0
Kidney,8,-1,0.014018477203970188,0.8337921835479378,0.0,274210.29172968864,260.1087265192291,5.721934385788827,266.6877978213457,1058.2827348709106,0.8299718757842476,0
Kidney,9,-1,0.01411881934209069,0.8334308352698643,0.0,274390.65821933746,313.54764872237126,5.726758243024104,343.6641695462821,877.9162452220917,0.827496039668661,0
Kidney,10,-1,0.013933491747648187,0.8324062364583426,0.0,274273.5559744835,276.6466927097168,5.7229040962107405,279.262066819116,995.0184900760651,0.8286863931594207,0
Kidney,20,-1,0.013801166231853094,0.832278610933532,0.0,274072.1841497421,230.0825834640479,5.718983435919719,234.54935629648315,1196.3903148174286,0.8359399201668035,0
Kidney,30,-1,0.01402917517019192,0.8338984395138104,0.0,274211.3799934387,260.37647943118793,5.7216080173842965,262.70665354727544,1057.1944711208344,0.826930360339805,0
Kidney,40,-1,0.013860439709555576,0.8336317539165858,0.0,273851.2521829605,194.2173477679313,5.7148560522808225,200.71789426032203,1417.3222815990448,0.8310709177412081,0
Kidney,50,-1,0.01390426802739117,0.8353911764705882,0.0,273861.377327919,195.61479148665546,5.715178564994082,203.00595366868527,1407.1971366405487,0.8302889625260499,0
Kidney,60,-1,0.013977792473732322,0.8339231636030706,0.0,273817.43854641914,189.6917931831694,5.7136243156049,192.43442395166414,1451.1359181404114,0.8306414994766785,0
Kidney,70,-1,0.013888651817116562,0.8370063676777045,0.0,273434.069188118,150.05057657751925,5.706268290226109,154.38439624591027,1834.505276441574,0.8294001784973285,0
Kidney,80,-1,0.013992522589784383,0.8341919132382412,0.0,273470.5710875988,153.09680615275502,5.7077163411713405,160.6369627518244,1798.0033769607544,0.8289125324740092,0
Kidney,90,-1,0.013818634123783912,0.8355037929574743,0.0,273393.2221813202,146.78232827225298,5.704112556407649,145.92841530482536,1875.3522832393646,0.831119218828111,0
Kidney,100,-1,0.013856198722663006,0.8331277393494702,0.0,273062.25609874725,124.7637597229599,5.699733409526548,131.31749540382162,2206.3183658123016,0.8304023461003748,0
Testis,1,-1,0.008325114345484354,0.8923919468440431,0.0,329406.6896367073,145.41292077411885,13.081298649729385,291.3135988917371,2281.0056598186493,0.8649179592781905,0
Testis,2,-1,0.00777218517271658,0.8897145248192273,0.0,330420.8832361698,261.82865294420884,13.097301053735233,451.7482809691008,1266.8120603561401,0.8661059033113518,0
Testis,3,-1,0.007711145810058787,0.8915071968818807,0.0,330356.5638496876,249.1772665158877,13.089790761544995,358.96644593734635,1331.131446838379,0.8679840722638044,0
Testis,4,-1,0.007723273412352608,0.8916087826042943,0.0,330226.0880343914,226.93352988142965,13.093058025877554,394.1870000847788,1461.607262134552,0.8676066837197743,0
Testis,5,-1,0.007751286235687884,0.8919291419813128,0.0,330285.47279691696,236.5442683946494,13.09091853066564,370.38966959053874,1402.2224996089935,0.8607378376494977,0
