	tissue	num_clusters	cluster_id	mean_intra_dist
0	cd8+_tcells	1	0	1.006368800623919
1	cd8+_tcells	2	0	0.9129273163587898
2	cd8+_tcells	2	1	0.7173407248703169
3	cd8+_tcells	3	0	0.6651180629740631
4	cd8+_tcells	3	1	0.571025009048992
5	cd8+_tcells	3	2	0.7173407248703169
6	cd8+_tcells	4	0	0.6651180629740631
7	cd8+_tcells	4	1	0.571025009048992
8	cd8+_tcells	4	2	0.4594425329394813
9	cd8+_tcells	4	3	0.432579384610951
10	cd8+_tcells	5	0	0.41673699376945206
11	cd8+_tcells	5	1	0.571025009048992
12	cd8+_tcells	5	2	0.4594425329394813
13	cd8+_tcells	5	3	0.432579384610951
14	cd8+_tcells	5	4	0.3924491024534006
15	cd8+_tcells	6	0	0.41673699376945206
16	cd8+_tcells	6	1	0.28505152095100866
17	cd8+_tcells	6	2	0.4594425329394813
18	cd8+_tcells	6	3	0.432579384610951
19	cd8+_tcells	6	4	0.3516143265706052
20	cd8+_tcells	6	5	0.3924491024534006
21	cd8+_tcells	7	0	0.41673699376945206
22	cd8+_tcells	7	1	0.28505152095100866
23	cd8+_tcells	7	2	0.2776649256195967
24	cd8+_tcells	7	3	0.432579384610951
25	cd8+_tcells	7	4	0.3516143265706052
26	cd8+_tcells	7	5	0.21698698567723362
27	cd8+_tcells	7	6	0.3924491024534006
28	cd8+_tcells	8	0	0.41673699376945206
29	cd8+_tcells	8	1	0.28505152095100866
30	cd8+_tcells	8	2	0.2776649256195967
31	cd8+_tcells	8	3	0.2188500268011531
32	cd8+_tcells	8	4	0.3516143265706052
33	cd8+_tcells	8	5	0.277910284726225
34	cd8+_tcells	8	6	0.21698698567723362
35	cd8+_tcells	8	7	0.3924491024534006
36	cd8+_tcells	9	0	0.2271796281556197
37	cd8+_tcells	9	1	0.28505152095100866
38	cd8+_tcells	9	2	0.2776649256195967
39	cd8+_tcells	9	3	0.2188500268011531
40	cd8+_tcells	9	4	0.3516143265706052
41	cd8+_tcells	9	5	0.29070844008616736
42	cd8+_tcells	9	6	0.277910284726225
43	cd8+_tcells	9	7	0.21698698567723362
44	cd8+_tcells	9	8	0.3924491024534006
45	cd8+_tcells	10	0	0.2271796281556197
46	cd8+_tcells	10	1	0.28505152095100866
47	cd8+_tcells	10	2	0.2776649256195967
48	cd8+_tcells	10	3	0.2188500268011531
49	cd8+_tcells	10	4	0.3516143265706052
50	cd8+_tcells	10	5	0.29070844008616736
51	cd8+_tcells	10	6	0.277910284726225
52	cd8+_tcells	10	7	0.21698698567723362
53	cd8+_tcells	10	8	0.3108873192017295
54	cd8+_tcells	10	9	0.2375260563207495
55	cd8+_tcells	20	0	0.1650994955273774
56	cd8+_tcells	20	1	0.20547441180403453
57	cd8+_tcells	20	2	0.15821397599423645
58	cd8+_tcells	20	3	0.2188500268011531
59	cd8+_tcells	20	4	0.19382366976945248
60	cd8+_tcells	20	5	0.1351181505244958
61	cd8+_tcells	20	6	0.16907456389625378
62	cd8+_tcells	20	7	0.14699244812680096
63	cd8+_tcells	20	8	0.16021426420749302
64	cd8+_tcells	20	9	0.21698698567723362
65	cd8+_tcells	20	10	0.14892176994236314
66	cd8+_tcells	20	11	0.1445076255331412
67	cd8+_tcells	20	12	0.16102464432276659
68	cd8+_tcells	20	13	0.17127288322766634
69	cd8+_tcells	20	14	0.1987488170020174
70	cd8+_tcells	20	15	0.1367784832299713
71	cd8+_tcells	20	16	0.1893699767997119
72	cd8+_tcells	20	17	0.16008481629077798
73	cd8+_tcells	20	18	0.13836307650547552
74	cd8+_tcells	20	19	0.14063957624207482
75	cd8+_tcells	30	0	0.14572848078328537
76	cd8+_tcells	30	1	0.1306719041123919
77	cd8+_tcells	30	2	0.15821397599423645
78	cd8+_tcells	30	3	0.11810958951008659
79	cd8+_tcells	30	4	0.11459628587896244
80	cd8+_tcells	30	5	0.1351181505244958
81	cd8+_tcells	30	6	0.12063189344870315
82	cd8+_tcells	30	7	0.1340517620172911
83	cd8+_tcells	30	8	0.14699244812680096
84	cd8+_tcells	30	9	0.16021426420749302
85	cd8+_tcells	30	10	0.11003795285302585
86	cd8+_tcells	30	11	0.14892176994236314
87	cd8+_tcells	30	12	0.1370554510662826
88	cd8+_tcells	30	13	0.1445076255331412
89	cd8+_tcells	30	14	0.16102464432276659
90	cd8+_tcells	30	15	0.0
91	cd8+_tcells	30	16	0.10187538270893372
92	cd8+_tcells	30	17	0.13335609285302596
93	cd8+_tcells	30	18	0.156589629479539
94	cd8+_tcells	30	19	0.13779103035475504
95	cd8+_tcells	30	20	0.1367784832299713
96	cd8+_tcells	30	21	0.13379802612708935
97	cd8+_tcells	30	22	0.16372926586005773
98	cd8+_tcells	30	23	0.16008481629077798
99	cd8+_tcells	30	24	0.1420051167896253
100	cd8+_tcells	30	25	0.08206894080691644
101	cd8+_tcells	30	26	0.07950829480115282
102	cd8+_tcells	30	27	0.13836307650547552
103	cd8+_tcells	30	28	0.09631304886495669
104	cd8+_tcells	30	29	0.14063957624207482
105	cd8+_tcells	40	0	0.13561392852708917
106	cd8+_tcells	40	1	0.1306719041123919
107	cd8+_tcells	40	2	0.11499298602305483
108	cd8+_tcells	40	3	0.11810958951008659
109	cd8+_tcells	40	4	0.11459628587896244
110	cd8+_tcells	40	5	0.1351181505244958
111	cd8+_tcells	40	6	0.09657480429394817
112	cd8+_tcells	40	7	0.12063189344870315
113	cd8+_tcells	40	8	0.1340517620172911
114	cd8+_tcells	40	9	0.0623659688472618
115	cd8+_tcells	40	10	0.10716817665706047
116	cd8+_tcells	40	11	0.11003795285302585
117	cd8+_tcells	40	12	0.09857609095100879
118	cd8+_tcells	40	13	0.11249842723342955
119	cd8+_tcells	40	14	0.12337205622478385
120	cd8+_tcells	40	15	0.1370554510662826
121	cd8+_tcells	40	16	0.10511524538904894
122	cd8+_tcells	40	17	0.10363445699135426
123	cd8+_tcells	40	18	0.10374960741786747
124	cd8+_tcells	40	19	0.0
125	cd8+_tcells	40	20	0.10187538270893372
126	cd8+_tcells	40	21	0.13335609285302596
127	cd8+_tcells	40	22	0.10136201979827084
128	cd8+_tcells	40	23	0.11916056030106627
129	cd8+_tcells	40	24	0.0999948913599424
130	cd8+_tcells	40	25	0.13779103035475504
131	cd8+_tcells	40	26	0.1367784832299713
132	cd8+_tcells	40	27	0.13379802612708935
133	cd8+_tcells	40	28	0.12584018697406352
134	cd8+_tcells	40	29	0.09744920317233452
135	cd8+_tcells	40	30	0.10028344934668577
136	cd8+_tcells	40	31	0.1420051167896253
137	cd8+_tcells	40	32	0.08206894080691644
138	cd8+_tcells	40	33	0.07210653262247844
139	cd8+_tcells	40	34	0.07950829480115282
140	cd8+_tcells	40	35	0.13390540290066294
141	cd8+_tcells	40	36	0.0
142	cd8+_tcells	40	37	0.13836307650547552
143	cd8+_tcells	40	38	0.09631304886495669
144	cd8+_tcells	40	39	0.14063957624207482
145	cd8+_tcells	50	0	0.09326933162219019
146	cd8+_tcells	50	1	0.1306719041123919
147	cd8+_tcells	50	2	0.11499298602305483
148	cd8+_tcells	50	3	0.11810958951008659
149	cd8+_tcells	50	4	0.11459628587896244
150	cd8+_tcells	50	5	0.09772851672334291
151	cd8+_tcells	50	6	0.09657480429394817
152	cd8+_tcells	50	7	0.12063189344870315
153	cd8+_tcells	50	8	0.11277271204610947
154	cd8+_tcells	50	9	0.0623659688472618
155	cd8+_tcells	50	10	0.10716817665706047
156	cd8+_tcells	50	11	0.11003795285302585
157	cd8+_tcells	50	12	0.09857609095100879
158	cd8+_tcells	50	13	0.11249842723342955
159	cd8+_tcells	50	14	0.12337205622478385
160	cd8+_tcells	50	15	0.09409491890489921
161	cd8+_tcells	50	16	0.10511524538904894
162	cd8+_tcells	50	17	0.10363445699135426
163	cd8+_tcells	50	18	0.10374960741786747
164	cd8+_tcells	50	19	0.0
165	cd8+_tcells	50	20	0.10187538270893372
166	cd8+_tcells	50	21	0.09426422161383283
167	cd8+_tcells	50	22	0.13335609285302596
168	cd8+_tcells	50	23	0.10136201979827084
169	cd8+_tcells	50	24	0.11916056030106627
170	cd8+_tcells	50	25	0.0999948913599424
171	cd8+_tcells	50	26	0.10885187770720452
172	cd8+_tcells	50	27	0.1266057409818444
173	cd8+_tcells	50	28	0.10031984594034578
174	cd8+_tcells	50	29	0.11556997570461094
175	cd8+_tcells	50	30	0.13379802612708935
176	cd8+_tcells	50	31	0.12584018697406352
177	cd8+_tcells	50	32	0.09422180478386172
178	cd8+_tcells	50	33	0.09744920317233452
179	cd8+_tcells	50	34	0.10028344934668577
180	cd8+_tcells	50	35	0.11078013537752154
181	cd8+_tcells	50	36	0.08206894080691644
182	cd8+_tcells	50	37	0.11133529256195969
183	cd8+_tcells	50	38	0.07210653262247844
184	cd8+_tcells	50	39	0.11030852541642648
185	cd8+_tcells	50	40	0.07950829480115282
186	cd8+_tcells	50	41	0.10432712384380399
187	cd8+_tcells	50	42	0.0
188	cd8+_tcells	50	43	0.041725428726224804
189	cd8+_tcells	50	44	0.08389015989798264
190	cd8+_tcells	50	45	0.10096830503409221
191	cd8+_tcells	50	46	0.09631304886495669
192	cd8+_tcells	50	47	0.0
193	cd8+_tcells	50	48	0.0
194	cd8+_tcells	50	49	0.0
195	cd8+_tcells	60	0	0.09326933162219019
196	cd8+_tcells	60	1	0.09883384661095086
197	cd8+_tcells	60	2	0.11499298602305483
198	cd8+_tcells	60	3	0.07464557927953885
199	cd8+_tcells	60	4	0.11459628587896244
200	cd8+_tcells	60	5	0.09772851672334291
201	cd8+_tcells	60	6	0.09657480429394817
202	cd8+_tcells	60	7	0.08840490169827096
203	cd8+_tcells	60	8	0.11277271204610947
204	cd8+_tcells	60	9	0.0623659688472618
205	cd8+_tcells	60	10	0.10716817665706047
206	cd8+_tcells	60	11	0.11003795285302585
207	cd8+_tcells	60	12	0.09215986204610957
208	cd8+_tcells	60	13	0.09857609095100879
209	cd8+_tcells	60	14	0.11249842723342955
210	cd8+_tcells	60	15	0.09217751037463985
211	cd8+_tcells	60	16	0.09409491890489921
212	cd8+_tcells	60	17	0.10511524538904894
213	cd8+_tcells	60	18	0.10363445699135426
214	cd8+_tcells	60	19	0.10374960741786747
215	cd8+_tcells	60	20	0.0
216	cd8+_tcells	60	21	0.10187538270893372
217	cd8+_tcells	60	22	0.09426422161383283
218	cd8+_tcells	60	23	0.08744365740633998
219	cd8+_tcells	60	24	0.10136201979827084
220	cd8+_tcells	60	25	0.0815146446700288
221	cd8+_tcells	60	26	0.0999948913599424
222	cd8+_tcells	60	27	0.10885187770720452
223	cd8+_tcells	60	28	0.07447897729682992
224	cd8+_tcells	60	29	0.10031984594034578
225	cd8+_tcells	60	30	0.07295566306829959
226	cd8+_tcells	60	31	0.09235286324582141
227	cd8+_tcells	60	32	0.10091012984149872
228	cd8+_tcells	60	33	0.09529681573487031
229	cd8+_tcells	60	34	0.10501410829971192
230	cd8+_tcells	60	35	0.07768946651296837
231	cd8+_tcells	60	36	0.09422180478386172
232	cd8+_tcells	60	37	0.09744920317233452
233	cd8+_tcells	60	38	0.10028344934668577
234	cd8+_tcells	60	39	0.11078013537752154
235	cd8+_tcells	60	40	0.10727062827953891
236	cd8+_tcells	60	41	0.08206894080691644
237	cd8+_tcells	60	42	0.11133529256195969
238	cd8+_tcells	60	43	0.07210653262247844
239	cd8+_tcells	60	44	0.11030852541642648
240	cd8+_tcells	60	45	0.07950829480115282
241	cd8+_tcells	60	46	0.10432712384380399
242	cd8+_tcells	60	47	0.0
243	cd8+_tcells	60	48	0.08656115287319895
244	cd8+_tcells	60	49	0.041725428726224804
245	cd8+_tcells	60	50	0.08389015989798264
246	cd8+_tcells	60	51	0.10096830503409221
247	cd8+_tcells	60	52	0.08787725021757938
248	cd8+_tcells	60	53	0.05123162282420757
249	cd8+_tcells	60	54	0.09631304886495669
250	cd8+_tcells	60	55	0.0
251	cd8+_tcells	60	56	0.0
252	cd8+_tcells	60	57	0.0
253	cd8+_tcells	60	58	0.045345269184438
254	cd8+_tcells	60	59	0.0
255	cd8+_tcells	70	0	0.09326933162219019
256	cd8+_tcells	70	1	0.09883384661095086
257	cd8+_tcells	70	2	0.10130763492795404
258	cd8+_tcells	70	3	0.07464557927953885
259	cd8+_tcells	70	4	0.07497383561959658
