,total_edges,signif_edges,Weighted degree per TF,#(total edges)/#(signif. edges) per TF
ENSG00000139687,99.0,53.0,89.47944262212472,1.8679245283018868
ENSG00000100714,187.0,24.0,75.91198612004004,7.791666666666667
ENSG00000134852,122.0,72.0,97.21572275107307,1.6944444444444444
ENSG00000124343,63.0,4.0,19.101066925689597,15.75
ENSG00000135486,150.0,69.0,87.55837792899747,2.1739130434782608
ENSG00000117448,155.0,20.0,67.15475858266467,7.75
ENSG00000018189,97.0,9.0,26.759285520925086,10.777777777777779
ENSG00000124614,162.0,56.0,93.99758140199181,2.892857142857143
ENSG00000224051,126.0,20.0,38.876376470911886,6.3
ENSG00000100335,141.0,28.0,48.025996892939304,5.035714285714286
ENSG00000136944,65.0,10.0,31.722105441930985,6.5
ENSG00000180818,102.0,46.0,79.69635283922848,2.217391304347826
ENSG00000205250,130.0,39.0,61.83866999757794,3.3333333333333335
ENSG00000126804,80.0,44.0,59.50788689208543,1.8181818181818181
ENSG00000130159,136.0,50.0,122.52832719348737,2.72
ENSG00000188986,180.0,107.0,163.44007842544517,1.6822429906542056
ENSG00000167491,164.0,32.0,64.90345584385902,5.125
ENSG00000162191,149.0,78.0,108.80017932412974,1.9102564102564104
ENSG00000197724,106.0,52.0,69.81169480623868,2.0384615384615383
ENSG00000166888,109.0,38.0,54.77520914736296,2.8684210526315788
ENSG00000152443,73.0,10.0,14.60735361295456,7.3
ENSG00000169926,81.0,11.0,23.560100073145975,7.363636363636363
ENSG00000114503,213.0,108.0,140.19349947608546,1.9722222222222223
ENSG00000157557,59.0,6.0,13.906731223173436,9.833333333333334
ENSG00000119541,169.0,46.0,74.3048372019815,3.6739130434782608
ENSG00000108953,318.0,71.0,130.13619318946718,4.47887323943662
ENSG00000116478,155.0,71.0,114.06611486160611,2.183098591549296
ENSG00000120053,109.0,7.0,26.27098696747862,15.571428571428571
ENSG00000105323,118.0,67.0,69.95179197158991,1.7611940298507462
ENSG00000111602,119.0,47.0,77.5058288579046,2.5319148936170213
ENSG00000171867,79.0,23.0,32.674648413358845,3.4347826086956523
ENSG00000117505,198.0,119.0,169.3190350684136,1.6638655462184875
ENSG00000132005,114.0,57.0,74.58537175251355,2.0
ENSG00000145388,83.0,25.0,32.5524200176826,3.32
ENSG00000130856,105.0,19.0,32.09612297598937,5.526315789473684
ENSG00000211460,130.0,58.0,61.53447714252036,2.2413793103448274
ENSG00000125676,112.0,47.0,67.93650416871756,2.382978723404255
ENSG00000081181,130.0,2.0,14.519030232233023,65.0
ENSG00000111328,87.0,19.0,23.109990970977005,4.578947368421052
ENSG00000125870,206.0,74.0,150.80662347774384,2.7837837837837838
ENSG00000086589,124.0,63.0,48.893873281240744,1.9682539682539681
ENSG00000148308,316.0,71.0,82.24854831073044,4.450704225352113
ENSG00000175550,137.0,53.0,66.0092769439693,2.5849056603773586
ENSG00000123609,66.0,6.0,17.644665223169838,11.0
ENSG00000265241,162.0,54.0,80.6823397259126,3.0
ENSG00000138380,34.0,8.0,17.003391808916607,4.25
ENSG00000162702,85.0,24.0,35.028641922360116,3.5416666666666665
ENSG00000124813,74.0,13.0,24.948144118878247,5.6923076923076925
ENSG00000112651,209.0,76.0,106.60035786626564,2.75
ENSG00000153560,127.0,80.0,98.28116419613823,1.5875
ENSG00000185591,56.0,13.0,21.763838025156744,4.3076923076923075
ENSG00000185811,36.0,2.0,11.286399478939176,18.0
ENSG00000185122,144.0,75.0,91.44425628052844,1.92
ENSG00000116793,120.0,46.0,71.28359349262097,2.608695652173913
ENSG00000185624,70.0,17.0,33.73386050708278,4.117647058823529
ENSG00000198546,153.0,39.0,60.45415414920721,3.923076923076923
ENSG00000078699,94.0,27.0,27.4397731776313,3.4814814814814814
ENSG00000112200,73.0,22.0,27.627514282814793,3.3181818181818183
ENSG00000167967,117.0,64.0,86.6699071024134,1.828125
ENSG00000089050,183.0,62.0,111.52589010575082,2.9516129032258065
ENSG00000107371,149.0,73.0,71.71662513004986,2.041095890410959
ENSG00000013441,47.0,8.0,22.18308623628329,5.875
ENSG00000204438,143.0,42.0,70.45475953947549,3.4047619047619047
ENSG00000109118,111.0,63.0,69.48870471556563,1.7619047619047619
ENSG00000105698,118.0,57.0,67.62162621163489,2.0701754385964914
ENSG00000058729,139.0,45.0,49.21569044516841,3.088888888888889
ENSG00000174165,176.0,35.0,56.92316719680011,5.0285714285714285
ENSG00000161813,160.0,14.0,24.57465419160792,11.428571428571429
ENSG00000164252,187.0,73.0,104.62245206917166,2.5616438356164384
ENSG00000243660,121.0,27.0,38.48705235430032,4.481481481481482
ENSG00000175792,203.0,55.0,79.5339371308722,3.690909090909091
ENSG00000204569,95.0,21.0,40.65808650104808,4.523809523809524
ENSG00000130816,71.0,29.0,44.271600278330915,2.4482758620689653
ENSG00000198081,97.0,29.0,32.22010376653695,3.3448275862068964
ENSG00000197170,116.0,24.0,37.594440064580944,4.833333333333333
ENSG00000163577,126.0,25.0,62.01132278398803,5.04
ENSG00000197157,131.0,38.0,52.88014302079274,3.4473684210526314
ENSG00000137106,125.0,23.0,50.04214408842302,5.434782608695652
ENSG00000123415,113.0,41.0,64.36349745054213,2.7560975609756095
ENSG00000025156,119.0,55.0,64.87011668619553,2.1636363636363636
ENSG00000113716,72.0,28.0,31.938714555658027,2.5714285714285716
ENSG00000075785,231.0,99.0,120.12277920331273,2.3333333333333335
ENSG00000105419,43.0,7.0,15.970925936704326,6.142857142857143
ENSG00000101811,149.0,18.0,29.104850743328665,8.277777777777779
ENSG00000118260,68.0,27.0,27.861712664631945,2.5185185185185186
ENSG00000234444,62.0,10.0,12.178736664218249,6.2
ENSG00000187109,114.0,43.0,52.797994105143445,2.6511627906976742
ENSG00000137166,95.0,27.0,38.02456643424523,3.5185185185185186
ENSG00000158711,237.0,17.0,26.515814196671663,13.941176470588236
ENSG00000075891,68.0,10.0,16.51354849645443,6.8
ENSG00000196214,89.0,12.0,18.18356175431257,7.416666666666667
ENSG00000198556,57.0,9.0,12.74137945344197,6.333333333333333
ENSG00000071794,113.0,50.0,64.01455749927484,2.26
ENSG00000188976,268.0,51.0,74.92148998232763,5.254901960784314
ENSG00000164167,133.0,27.0,38.57740662748464,4.925925925925926
ENSG00000111653,67.0,25.0,30.730245284046163,2.68
ENSG00000112679,118.0,30.0,48.75784805954911,3.933333333333333
ENSG00000121691,152.0,18.0,48.33270774246749,8.444444444444445
ENSG00000188868,64.0,5.0,13.85991980075757,12.8
ENSG00000137504,70.0,17.0,21.95113839772307,4.117647058823529
ENSG00000163884,113.0,6.0,16.251150127423852,18.833333333333332
ENSG00000048405,90.0,50.0,64.44095313336479,1.8
ENSG00000124444,140.0,51.0,67.9747525373475,2.7450980392156863
ENSG00000102349,81.0,9.0,19.08222015361093,9.0
ENSG00000160741,140.0,42.0,45.27107213714677,3.3333333333333335
ENSG00000122482,127.0,32.0,38.74400109277064,3.96875
ENSG00000126351,87.0,20.0,26.668919577015664,4.35
ENSG00000198455,100.0,21.0,24.41521712422575,4.761904761904762
ENSG00000156273,54.0,28.0,40.716387888078046,1.9285714285714286
ENSG00000137492,105.0,35.0,49.45182382223504,3.0
ENSG00000169957,121.0,13.0,22.89045367238034,9.307692307692308
ENSG00000257923,170.0,49.0,70.1654972517312,3.4693877551020407
ENSG00000092199,106.0,41.0,69.6685865939308,2.5853658536585367
ENSG00000136451,73.0,30.0,36.344644745602906,2.433333333333333
ENSG00000170581,73.0,19.0,22.054305221396397,3.8421052631578947
ENSG00000175213,103.0,21.0,39.930853659785726,4.904761904761905
ENSG00000180257,40.0,15.0,21.770830423525176,2.6666666666666665
ENSG00000198815,99.0,50.0,54.40040507183331,1.98
ENSG00000160113,133.0,16.0,38.77155601748956,8.3125
ENSG00000184047,179.0,51.0,71.48946489534744,3.5098039215686274
ENSG00000119574,94.0,34.0,53.88306677938538,2.764705882352941
ENSG00000153406,197.0,14.0,34.92011785611734,14.071428571428571
ENSG00000196605,64.0,17.0,21.457068865557535,3.764705882352941
ENSG00000119950,101.0,22.0,29.798319389958156,4.590909090909091
ENSG00000100030,192.0,103.0,141.7679009434899,1.8640776699029127
ENSG00000186300,90.0,25.0,26.778311175635967,3.6
ENSG00000181472,62.0,10.0,16.6696784188567,6.2
ENSG00000176371,89.0,20.0,29.54328157454508,4.45
ENSG00000104805,144.0,17.0,29.37872819949996,8.470588235294118
ENSG00000179886,81.0,11.0,19.932804518694066,7.363636363636363
ENSG00000151623,92.0,6.0,13.397298079817855,15.333333333333334
ENSG00000168036,97.0,47.0,62.04029604251254,2.0638297872340425
ENSG00000138029,244.0,33.0,57.602932891657474,7.393939393939394
ENSG00000066136,141.0,61.0,55.68142814266124,2.3114754098360657
ENSG00000141040,93.0,7.0,13.088158092286992,13.285714285714286
ENSG00000147419,160.0,42.0,65.15235772875498,3.8095238095238093
ENSG00000124151,104.0,61.0,64.24501128024271,1.7049180327868851
ENSG00000169083,99.0,9.0,15.81562226734776,11.0
ENSG00000168310,79.0,19.0,19.355142808899565,4.157894736842105
ENSG00000151090,86.0,17.0,28.934139584774314,5.0588235294117645
ENSG00000188321,45.0,14.0,21.020283756145652,3.2142857142857144
ENSG00000182158,109.0,21.0,24.752251214853146,5.190476190476191
ENSG00000156467,290.0,30.0,67.5373698373206,9.666666666666666
ENSG00000122386,95.0,23.0,31.886482698486102,4.130434782608695
ENSG00000204514,25.0,12.0,21.992281643271628,2.0833333333333335
ENSG00000163110,98.0,29.0,40.007096478023236,3.3793103448275863
ENSG00000029363,69.0,32.0,32.96129867627086,2.15625
ENSG00000101255,83.0,6.0,16.646138503570132,13.833333333333334
ENSG00000170653,65.0,40.0,49.63593512364159,1.625
ENSG00000100902,141.0,22.0,31.87787697268446,6.409090909090909
ENSG00000135373,53.0,4.0,9.978275335483307,13.25
ENSG00000128713,54.0,13.0,19.498350265566874,4.153846153846154
ENSG00000181007,45.0,2.0,7.1482457991231625,22.5
ENSG00000169057,105.0,50.0,52.123876399822265,2.1
ENSG00000161914,75.0,17.0,22.15515168274185,4.411764705882353
ENSG00000196323,91.0,31.0,40.888515582916355,2.935483870967742
ENSG00000148843,124.0,22.0,40.88968804102032,5.636363636363637
ENSG00000086102,89.0,19.0,29.345731307821342,4.684210526315789
ENSG00000106246,97.0,27.0,30.44357548792344,3.5925925925925926
ENSG00000084676,98.0,39.0,43.636604231502766,2.5128205128205128
ENSG00000143621,128.0,15.0,28.83945366119992,8.533333333333333
ENSG00000187792,54.0,12.0,15.241609353226437,4.5
ENSG00000104388,171.0,60.0,71.76720630547173,2.85
ENSG00000169764,127.0,16.0,40.35821044904119,7.9375
ENSG00000120798,63.0,10.0,10.777864716893802,6.3
ENSG00000163159,195.0,84.0,79.46075107729305,2.3214285714285716
ENSG00000165156,76.0,29.0,28.885098061476697,2.6206896551724137
ENSG00000167395,78.0,18.0,19.110457274990527,4.333333333333333
ENSG00000132604,205.0,60.0,68.98334347860656,3.4166666666666665
ENSG00000173473,109.0,33.0,46.33175781647376,3.303030303030303
ENSG00000122729,115.0,9.0,30.390436774344916,12.777777777777779
ENSG00000131115,83.0,23.0,24.873614084218122,3.608695652173913
ENSG00000181638,82.0,14.0,18.942967962703587,5.857142857142857
ENSG00000082641,306.0,66.0,82.80048778800415,4.636363636363637
ENSG00000204946,53.0,13.0,14.706346459414986,4.076923076923077
ENSG00000250571,75.0,14.0,17.56051150415203,5.357142857142857
ENSG00000184828,44.0,5.0,12.585997983361583,8.8
ENSG00000008441,51.0,20.0,20.322817559287817,2.55
ENSG00000173917,72.0,10.0,15.209976424286848,7.2
ENSG00000134954,73.0,17.0,24.893262660692194,4.294117647058823
ENSG00000126456,75.0,20.0,17.678008629073002,3.75
ENSG00000176472,69.0,6.0,12.323302651756654,11.5
ENSG00000167393,84.0,11.0,19.028311478664666,7.636363636363637
ENSG00000148584,126.0,9.0,16.894826693627536,14.0
ENSG00000117000,66.0,22.0,30.07267758928651,3.0
ENSG00000173253,93.0,5.0,15.20748204643532,18.6
ENSG00000184937,103.0,14.0,30.27009837813088,7.357142857142857
ENSG00000112182,69.0,6.0,14.177925165323883,11.5
ENSG00000184939,73.0,24.0,25.425257629751428,3.0416666666666665
ENSG00000197757,70.0,9.0,10.058652053449572,7.777777777777778
ENSG00000137947,105.0,25.0,30.644304021829235,4.2
ENSG00000165702,44.0,2.0,7.097988144973694,22.0
ENSG00000177733,131.0,62.0,65.04588975807602,2.1129032258064515
ENSG00000186812,79.0,19.0,22.37029401035113,4.157894736842105
ENSG00000143742,157.0,63.0,86.42555045502176,2.492063492063492
ENSG00000084093,49.0,16.0,18.213106464973954,3.0625
ENSG00000196843,53.0,8.0,11.803949338384355,6.625
ENSG00000178028,97.0,29.0,39.50229854543557,3.3448275862068964
ENSG00000139624,164.0,33.0,36.73664998107963,4.96969696969697
ENSG00000213988,42.0,10.0,12.30402294045146,4.2
ENSG00000002330,154.0,29.0,50.265994541586515,5.310344827586207
ENSG00000165819,60.0,13.0,18.53103005463515,4.615384615384615
ENSG00000171720,119.0,41.0,44.713216407141104,2.902439024390244
ENSG00000073614,72.0,34.0,38.18026047006693,2.1176470588235294
ENSG00000168826,60.0,17.0,17.533111033428646,3.5294117647058822
ENSG00000125846,33.0,8.0,12.935233770178497,4.125
ENSG00000198824,101.0,21.0,37.397919247996796,4.809523809523809
ENSG00000166188,80.0,22.0,29.399740203088772,3.6363636363636362
ENSG00000180353,69.0,7.0,14.59860089900957,9.857142857142858
ENSG00000176399,113.0,18.0,48.88635347864465,6.277777777777778
ENSG00000186020,89.0,17.0,17.53132368201054,5.235294117647059
ENSG00000095574,59.0,19.0,17.224237167833945,3.1052631578947367
