tissue,method,num_permutations,significant_bh,significant_wy,ratio_bh,ratio_wy
Adipose_Tissue,grnboost2,1000,343408,581955,0.22287700643044245,0.3776976316137892
Adipose_Tissue,grnboost2,3000,349760,580629,0.22699955088149243,0.37683703747932884
Adipose_Tissue,grnboost2,5000,347062,563273,0.22524850791409115,0.36557272993958967
Adipose_Tissue,lasso,1000,0,68728,0.0,0.023166621835437703
Adipose_Tissue,lasso,3000,0,67000,0.0,0.022584152935838757
Adipose_Tissue,lasso,5000,0,68346,0.0,0.023037858456012476
Adrenal_Gland,grnboost2,1000,307299,614789,0.16243624501998877,0.3249734513929231
Adrenal_Gland,grnboost2,3000,309370,621306,0.16353096209826234,0.32841829504290326
Adrenal_Gland,grnboost2,5000,318012,627655,0.1680990668739458,0.33177433498976905
Adrenal_Gland,lasso,1000,0,206747,0.0,0.09297808518580147
Adrenal_Gland,lasso,3000,0,205109,0.0,0.09224144521746169
Adrenal_Gland,lasso,5000,0,205529,0.0,0.09243032726062574
Bladder,grnboost2,1000,246536,660019,0.10697426787565374,0.286388394834917
Bladder,grnboost2,3000,278664,675235,0.12091490647735492,0.2929907590332327
Bladder,grnboost2,5000,269349,669552,0.11687304117061792,0.2905248523732019
Bladder,lasso,1000,269824,247763,0.8254754933903589,0.7579840365159344
Bladder,lasso,3000,270763,248027,0.8283481862875569,0.7587916945828782
Bladder,lasso,5000,270973,248457,0.8289906415680803,0.7601071982525216
Blood,grnboost2,1000,322036,538669,0.1867431802867637,0.31236495976192324
Blood,grnboost2,3000,327300,543763,0.18979568404730454,0.3153188834238144
Blood,grnboost2,5000,332089,555805,0.19257274341455946,0.32230183370581145
Blood,lasso,1000,34274,148230,0.02636796208749572,0.11403755091992446
Blood,lasso,3000,53438,147909,0.04111137182796278,0.11379059649878638
Blood,lasso,5000,53709,147341,0.04131985982836283,0.11335361795920251
Blood_Vessel,grnboost2,1000,306136,500672,0.2039222269072413,0.3335058574950424
Blood_Vessel,grnboost2,3000,322155,509979,0.21459274639148063,0.3397054033368438
Blood_Vessel,grnboost2,5000,318362,491248,0.21206616667965594,0.3272283760280675
Blood_Vessel,lasso,1000,0,47643,0.0,0.015440372930880486
Blood_Vessel,lasso,3000,0,44945,0.0,0.014565992094923147
Blood_Vessel,lasso,5000,0,43902,0.0,0.01422797163091147
Brain,grnboost2,1000,584986,902839,0.28920417017675,0.44634367967473887
Brain,grnboost2,3000,599597,935456,0.29642752617236784,0.4624688047523562
Brain,grnboost2,5000,607950,940513,0.3005570650561811,0.464968873965267
Brain,lasso,1000,452451,408684,0.30955298444815266,0.2796089563205934
Brain,lasso,3000,463135,410049,0.3168626468996536,0.2805428471148932
Brain,lasso,5000,465233,411011,0.318298033629647,0.2812010177699235
Breast,grnboost2,1000,284749,561534,0.16308013204525826,0.32159915879564827
Breast,grnboost2,3000,292154,564230,0.1673210894421065,0.32314319946302206
Breast,grnboost2,5000,290115,559425,0.16615332278009792,0.3203913020569646
Breast,lasso,1000,0,99616,0.0,0.03919997670415776
Breast,lasso,3000,0,99170,0.0,0.0390244708656373
Breast,lasso,5000,0,98052,0.0,0.03858452573679004
Cervix_Uteri,grnboost2,1000,189222,614086,0.08460255951111487,0.2745624047940646
Cervix_Uteri,grnboost2,3000,213306,610396,0.09537069452324713,0.27291257842822964
Cervix_Uteri,grnboost2,5000,216792,674551,0.09692931097617409,0.30159675471553016
Cervix_Uteri,lasso,1000,255691,238667,0.8726476590923052,0.8145464597994581
Cervix_Uteri,lasso,3000,257090,239423,0.877422305345283,0.8171266117417391
Cervix_Uteri,lasso,5000,257116,239147,0.8775110407295413,0.8161846515088428
Colon,grnboost2,1000,354323,560204,0.20018463475031653,0.31650283251628125
Colon,grnboost2,3000,357542,568514,0.20200329834049066,0.3211977981684549
Colon,grnboost2,5000,355556,547323,0.2008812523976246,0.30922535326650397
Colon,lasso,1000,0,101636,0.0,0.04249682432031256
Colon,lasso,3000,0,100867,0.0,0.04217528413866117
Colon,lasso,5000,0,101189,0.0,0.04230992124983379
Esophagus,grnboost2,1000,390499,563393,0.2212311018300193,0.3191814938151444
Esophagus,grnboost2,3000,390346,545951,0.22114442207263196,0.30930000147298936
Esophagus,grnboost2,5000,390824,553574,0.22141522549767212,0.31361869291458133
Esophagus,lasso,1000,0,144562,0.0,0.06361425721173099
Esophagus,lasso,3000,17532,143627,0.007714926173102666,0.06320281208442942
Esophagus,lasso,5000,20261,142527,0.008915817886905836,0.0627187589934864
Fallopian_Tube,grnboost2,1000,1054585,1037445,0.5415840918066395,0.5327818128688907
Fallopian_Tube,grnboost2,3000,1015119,984461,0.5213162539678301,0.5055717809413713
Fallopian_Tube,grnboost2,5000,998627,1025601,0.5128467566375294,0.5266993045994218
Fallopian_Tube,lasso,1000,178709,175501,0.9903189697211509,0.9725417830385247
Fallopian_Tube,lasso,3000,178970,175752,0.9917653056700803,0.9739327038169969
Fallopian_Tube,lasso,5000,178947,175795,0.991637850778029,0.9741709890499624
Heart,grnboost2,1000,445448,698114,0.2874316100694756,0.4504679132739217
Heart,grnboost2,3000,465711,699816,0.3005065968576928,0.45156615279983325
Heart,grnboost2,5000,467039,716331,0.30136350760411496,0.46222268968022645
Heart,lasso,1000,0,132001,0.0,0.06609312952102371
Heart,lasso,3000,0,130573,0.0,0.06537812744561503
Heart,lasso,5000,0,129953,0.0,0.06506769237085776
Kidney,grnboost2,1000,333802,905125,0.1605016391456248,0.43521023280772325
Kidney,grnboost2,3000,323473,900339,0.1555351577262949,0.4329089858261265
Kidney,grnboost2,5000,344088,919383,0.16544744492345687,0.44206589086530923
Kidney,lasso,1000,76236,259624,0.0855899550022903,0.2914791762095941
Kidney,lasso,3000,85249,261112,0.095708826197469,0.29314974986303094
Kidney,lasso,5000,89257,259583,0.10020859716721005,0.2914331456183368
Liver,grnboost2,1000,272198,638430,0.149699169553979,0.3511136776109553
Liver,grnboost2,3000,293183,620296,0.16124016938898972,0.34114062585931915
Liver,grnboost2,5000,294604,641275,0.16202166859154155,0.3526783259088159
Liver,lasso,1000,0,219538,0.0,0.10787153961811731
Liver,lasso,3000,0,219016,0.0,0.10761505124853821
Liver,lasso,5000,0,219405,0.0,0.10780618913314793
Lung,grnboost2,1000,284633,577314,0.16254442184923953,0.3296847883255697
Lung,grnboost2,3000,285637,573934,0.16311777279426923,0.32775458295286014
Lung,grnboost2,5000,290143,584024,0.16569099924676306,0.3335166457370729
Lung,lasso,1000,0,57678,0.0,0.019154407210648997
Lung,lasso,3000,0,55976,0.0,0.018589186483985026
Lung,lasso,5000,0,56854,0.0,0.01888076333358019
Muscle,grnboost2,1000,281309,702539,0.1812707491339492,0.45270421787363907
Muscle,grnboost2,3000,282864,713864,0.18227276476410426,0.46000185582316067
Muscle,grnboost2,5000,287296,701005,0.18512867040580666,0.4517157342873639
Muscle,lasso,1000,0,53124,0.0,0.01796270517176727
Muscle,lasso,3000,0,52603,0.0,0.01778654054947808
Muscle,lasso,5000,0,52958,0.0,0.01790657594470392
Nerve,grnboost2,1000,305812,518818,0.18043613324844868,0.30611458601916747
Nerve,grnboost2,3000,307274,526756,0.18129874696801898,0.310798189101212
Nerve,grnboost2,5000,307706,527748,0.18155363693166765,0.31138349198070153
Nerve,lasso,1000,0,67375,0.0,0.019191865098920357
Nerve,lasso,3000,0,65995,0.0,0.01879877012546566
Nerve,lasso,5000,0,66670,0.0,0.018991044840742415
Ovary,grnboost2,1000,204690,482144,0.10199973091086671,0.24025872421852032
Ovary,grnboost2,3000,215168,475905,0.10722105672299267,0.23714974810267245
Ovary,grnboost2,5000,217514,483539,0.108390099513148,0.2409538711461702
Ovary,lasso,1000,0,282487,0.0,0.14695283819305757
Ovary,lasso,3000,0,282474,0.0,0.14694607545035965
Ovary,lasso,5000,0,282605,0.0,0.1470142230883157
Pancreas,grnboost2,1000,422175,864769,0.2220949709502356,0.45493183142929894
Pancreas,grnboost2,3000,421088,866949,0.2215231293361587,0.4560786710969048
Pancreas,grnboost2,5000,436492,897580,0.22962676155625092,0.4721928205732515
Pancreas,lasso,1000,0,160741,0.0,0.07749478477902746
Pancreas,lasso,3000,0,157916,0.0,0.07613282506121587
Pancreas,lasso,5000,0,157752,0.0,0.07605375908113761
Pituitary,grnboost2,1000,285535,642249,0.14398358536196718,0.3238598200400583
Pituitary,grnboost2,3000,305262,663130,0.15393110208823726,0.33438925161917554
Pituitary,grnboost2,5000,297194,650658,0.14986274070801994,0.32810013372947916
Pituitary,lasso,1000,0,217405,0.0,0.0877324665209873
Pituitary,lasso,3000,0,218319,0.0,0.08810130566636198
Pituitary,lasso,5000,0,217868,0.0,0.08791930735721103
Prostate,grnboost2,1000,287427,670774,0.14533955898593465,0.33918176559345964
Prostate,grnboost2,3000,295995,639480,0.14967203067923934,0.3233577262411864
Prostate,grnboost2,5000,301020,664800,0.15221295858059974,0.3361609689202801
Prostate,lasso,1000,0,252335,0.0,0.11357805416422108
Prostate,lasso,3000,0,248241,0.0,0.11173531116880497
Prostate,lasso,5000,0,249521,0.0,0.11231144967250127
Salivary_Gland,grnboost2,1000,288323,558539,0.14277105271758345,0.2765759270464942
Salivary_Gland,grnboost2,3000,290577,579669,0.14388718272741768,0.28703902691685673
Salivary_Gland,grnboost2,5000,295440,575891,0.1462952307477477,0.28516824644784444
Salivary_Gland,lasso,1000,0,310573,0.0,0.18495780022820987
Salivary_Gland,lasso,3000,0,310432,0.0,0.18487382947147257
Salivary_Gland,lasso,5000,0,311123,0.0,0.1852853457332136
Skin,grnboost2,1000,381721,637763,0.19135323457904102,0.3197047397047397
Skin,grnboost2,3000,402801,631510,0.2019204451462516,0.31657016818307143
Skin,grnboost2,5000,403310,633433,0.20217560217560218,0.31753415043737626
Skin,lasso,1000,51789,192929,0.024092960895518083,0.08975324591344509
Skin,lasso,3000,71876,190951,0.033437711817688266,0.0888330528869079
Skin,lasso,5000,71202,192270,0.03312415767214425,0.08944666997588796
Small_Intestine,grnboost2,1000,297917,720530,0.1441139649541029,0.34854820358817973
Small_Intestine,grnboost2,3000,304738,724317,0.14741354622993452,0.35038012182473954
Small_Intestine,grnboost2,5000,306819,708236,0.14842020634355504,0.3426011207256854
Small_Intestine,lasso,1000,0,239220,0.0,0.1555441117951359
Small_Intestine,lasso,3000,0,238196,0.0,0.15487829300708214
Small_Intestine,lasso,5000,0,238369,0.0,0.15499077997029825
Spleen,grnboost2,1000,315161,647271,0.164715996989589,0.3382902328887402
Spleen,grnboost2,3000,320761,636028,0.16764278546640465,0.3324141823807334
Spleen,grnboost2,5000,324026,648585,0.16934920767654807,0.33897698289919304
Spleen,lasso,1000,0,241040,0.0,0.11406754138639576
Spleen,lasso,3000,0,241446,0.0,0.11425967307326464
Spleen,lasso,5000,0,243205,0.0,0.11509208597277787
Stomach,grnboost2,1000,283630,708748,0.14907745741545111,0.3725217705753487
Stomach,grnboost2,3000,296801,709825,0.15600020603731377,0.3730878475828459
Stomach,grnboost2,5000,297894,697401,0.15657469273108768,0.3665577261890245
Stomach,lasso,1000,0,168662,0.0,0.08545546574601899
Stomach,lasso,3000,0,169101,0.0,0.08567789254910743
Stomach,lasso,5000,0,168790,0.0,0.08552031911912907
Testis,grnboost2,1000,423432,852287,0.20662506825577998,0.4158964356697508
Testis,grnboost2,3000,431187,877568,0.2104093297294607,0.4282329816808562
Testis,grnboost2,5000,434616,877885,0.21208260279113073,0.428387670383262
Testis,lasso,1000,0,248465,0.0,0.07582256180867014
Testis,lasso,3000,0,249914,0.0,0.07626474437788819
Testis,lasso,5000,0,249457,0.0,0.07612528445095054
Thyroid,grnboost2,1000,322216,549620,0.18823413949081164,0.32108041731925135
Thyroid,grnboost2,3000,335143,548021,0.19578591445294175,0.32014630359105095
Thyroid,grnboost2,5000,342508,554823,0.2000884457901498,0.32411993809963063
Thyroid,lasso,1000,0,60217,0.0,0.018049355547156216
Thyroid,lasso,3000,0,56976,0.0,0.017077902945260848
Thyroid,lasso,5000,0,56715,0.0,0.016999671186823734
Uterus,grnboost2,1000,179199,459992,0.0859658523691352,0.22066866647125957
Uterus,grnboost2,3000,198809,455384,0.09537321717004783,0.21845810364603746
Uterus,grnboost2,5000,201424,449619,0.09662769238444796,0.21569250150033317
Uterus,lasso,1000,0,330706,0.0,0.1950257828017154
Uterus,lasso,3000,0,330052,0.0,0.19464010228200204
Uterus,lasso,5000,0,330483,0.0,0.19489427400065107
Vagina,grnboost2,1000,266648,600866,0.12484625278173021,0.2813292000088023
Vagina,grnboost2,3000,274926,599223,0.12872206389048468,0.2805599371854532
Vagina,grnboost2,5000,276862,603784,0.1296285111369873,0.28269542576566936
Vagina,lasso,1000,0,278769,0.0,0.16657305351366014
Vagina,lasso,3000,0,273100,0.0,0.1631856516132733
Vagina,lasso,5000,0,274590,0.0,0.16407597245144168
