tissue,groundtruth,approximation,f1_005,f1_005_bh
Breast,gt-0,approx,0.90696800964385,0.0
Breast,gt-0,gt-1,0.971595665386159,0.0
Breast,gt-0,gt-2,0.9717114383186789,0.0
Breast,gt-0,gt-3,0.9715850915518685,0.0
Breast,gt-0,gt-4,0.9716825005653014,0.0
Breast,gt-0,gt-5,0.971272435986692,0.0
Breast,gt-0,gt-6,0.971537536573299,0.0
Breast,gt-0,gt-7,0.9716285103985113,0.0
Breast,gt-0,gt-8,0.9715286114118108,0.0
Breast,gt-0,gt-9,0.9716066413917169,0.0
Breast,gt-1,approx,0.9068260415914743,0.0
Breast,gt-1,gt-0,0.971595665386159,0.0
Breast,gt-1,gt-2,0.9718528474140121,0.0
Breast,gt-1,gt-3,0.9713003808262816,0.0
Breast,gt-1,gt-4,0.971437094244313,0.0
Breast,gt-1,gt-5,0.9715742628118998,0.0
Breast,gt-1,gt-6,0.9715117222257726,0.0
Breast,gt-1,gt-7,0.9715437363285571,0.0
Breast,gt-1,gt-8,0.9715126317479351,0.0
Breast,gt-1,gt-9,0.9714202367470955,0.0
Breast,gt-2,approx,0.9067813158952732,0.0
Breast,gt-2,gt-0,0.9717114383186789,0.0
Breast,gt-2,gt-1,0.9718528474140121,0.0
Breast,gt-2,gt-3,0.9716521417015926,0.0
Breast,gt-2,gt-4,0.9715168187496517,0.0
Breast,gt-2,gt-5,0.9716376104461443,0.0
Breast,gt-2,gt-6,0.9718373113827614,0.0
Breast,gt-2,gt-7,0.9717775242890296,0.0
Breast,gt-2,gt-8,0.9716578758071942,0.0
Breast,gt-2,gt-9,0.9716442034378412,0.0
Breast,gt-3,approx,0.9069351568088304,0.0
Breast,gt-3,gt-0,0.9715850915518685,0.0
Breast,gt-3,gt-1,0.9713003808262816,0.0
Breast,gt-3,gt-2,0.9716521417015926,0.0
Breast,gt-3,gt-4,0.9715445222262834,0.0
Breast,gt-3,gt-5,0.9715669631445444,0.0
Breast,gt-3,gt-6,0.9716879562791384,0.0
Breast,gt-3,gt-7,0.9717134013557511,0.0
