tissue,groundtruth,approximation,f1_005,f1_005_bh
Breast,gt-0,approx,0.8394510958744115,0.8722232776696186
Breast,gt-0,gt-1,0.8384854037912577,0.8688545603830258
Breast,gt-0,gt-2,0.8388437744449304,0.8678969240107703
Breast,gt-0,gt-3,0.8392925380103584,0.8691375981576236
Breast,gt-0,gt-4,0.839580317068777,0.8684871855226175
Breast,gt-0,gt-5,0.839352731834488,0.8683157681709918
Breast,gt-0,gt-6,0.8393199181153161,0.8684798582034137
Breast,gt-0,gt-7,0.8402505697905999,0.8693074073625093
Breast,gt-0,gt-8,0.8392583595572404,0.8681822508762062
Breast,gt-0,gt-9,0.8396733113299597,0.8684316057304055
Breast,gt-1,approx,0.8389394641484889,0.8719326076826823
Breast,gt-1,gt-0,0.8384854037912577,0.8688545603830258
Breast,gt-1,gt-2,0.8387868314014552,0.8688912630538187
Breast,gt-1,gt-3,0.8387657423995294,0.8696250704347449
Breast,gt-1,gt-4,0.8387283181783449,0.8682249533831042
Breast,gt-1,gt-5,0.8391748329387706,0.8692173268467058
Breast,gt-1,gt-6,0.8390611341600341,0.8689177783285297
Breast,gt-1,gt-7,0.8401088407071498,0.8701176870429809
Breast,gt-1,gt-8,0.8388190656410885,0.8699749581914442
Breast,gt-1,gt-9,0.8390464578596124,0.869350003807625
Breast,gt-2,approx,0.8397273407090675,0.8717606514762404
Breast,gt-2,gt-0,0.8388437744449304,0.8678969240107703
Breast,gt-2,gt-1,0.8387868314014552,0.8688912630538187
Breast,gt-2,gt-3,0.8399709511771739,0.8694338185657661
Breast,gt-2,gt-4,0.8394412792467922,0.8680430242958898
Breast,gt-2,gt-5,0.8392488302290358,0.8687952582182353
Breast,gt-2,gt-6,0.8398025080257397,0.8685270545243138
Breast,gt-2,gt-7,0.84072005321013,0.8694754991742462
Breast,gt-2,gt-8,0.8397108741816539,0.8688973857679199
Breast,gt-2,gt-9,0.840004711508336,0.8688899908940584
Breast,gt-3,approx,0.8397705610935744,0.872401521230941
Breast,gt-3,gt-0,0.8392925380103584,0.8691375981576236
Breast,gt-3,gt-1,0.8387657423995294,0.8696250704347449
Breast,gt-3,gt-2,0.8399709511771739,0.8694338185657661
Breast,gt-3,gt-4,0.8398040688832862,0.8698041267295037
Breast,gt-3,gt-5,0.8400763034941928,0.8689773376499714
Breast,gt-3,gt-6,0.8398389145755927,0.8698177080626327
Breast,gt-3,gt-7,0.8409243832525277,0.8695546665372429
Breast,gt-3,gt-8,0.8403503146610514,0.8692737314032692
Breast,gt-3,gt-9,0.8400868620856916,0.8703419520592383
