tissue,num_non_tfs,num_tfs,mae,f1_005,f1_001,abs_time_saving,rel_time_saving,abs_emission_saving,rel_emission_saving,total_runtime
Breast,1,-1,0.015544530449448249,0.808121044992188,0.8708254148190133,322360.0616207123,191.8787704994531,12.651555510463048,328.05420098200005,1688.820924282074
Breast,2,-1,0.015189844552733065,0.8204706800256467,0.872700006130697,322368.94287490845,192.89316653164306,12.644221116895896,275.76832397660576,1679.939670085907
Breast,3,-1,0.014534827511183538,0.832477816471743,0.8722948502782439,322403.1341636181,196.90062357771035,12.645883544865956,286.1040607849829,1645.7483813762665
Breast,4,-1,0.01445208530041424,0.8331466235244772,0.8720381393629008,322601.72111201286,223.9203416839114,12.65075657015246,321.41589164238155,1447.161432981491
Breast,5,-1,0.014524980926060391,0.8341406495558684,0.8737422914638104,322366.5899350643,192.62337635690534,12.645732889927176,285.13558443855277,1682.2926099300385
Breast,6,-1,0.014362884736776245,0.8327510332407699,0.8747197464406415,322462.48863601685,204.26760384743045,12.646933979881204,293.0440095295322,1586.3939089775085
Breast,7,-1,0.01436695668019993,0.8338355578822998,0.8739493683627761,322051.6643149853,162.25011251951236,12.638719843554956,246.3213990302678,1997.218230009079
Breast,8,-1,0.014317719749581521,0.8371132461069093,0.8736171501776485,322132.68008875847,169.1099400746743,12.638630437518225,245.8946738103108,1916.2024562358856
Breast,9,-1,0.014469919005137576,0.8331917127532286,0.8715833503687512,322649.1647372246,231.51015207937806,12.647097293103455,294.15333292470234,1399.7178077697754
Breast,10,-1,0.014384051748003215,0.834805006865244,0.87515851591437,322274.932618618,182.67081709962963,12.646883060126562,292.6998404590368,1773.9499263763428
Breast,20,-1,0.014114977932538311,0.8408503069122734,0.8750744102836986,321850.0509750843,147.37321720292138,12.62966117661022,209.48699084501334,2198.8315699100494
Breast,30,-1,0.013994402178023899,0.8381253504079772,0.8749622236392204,322166.01524448395,172.1039408656953,12.631479064647287,215.96801791828182,1882.8673005104065
Breast,40,-1,0.01400552807542685,0.8391838599367135,0.8754175676123899,321280.19534373283,117.04062575120267,12.607320331781509,153.0446510404,2768.6872012615204
Breast,50,-1,0.013889911658498002,0.8401308487308787,0.8745363312908001,321368.29870224,120.8874266033128,12.607820088676284,153.97265698253443,2680.583842754364
Breast,60,-1,0.013922478051595598,0.8418128317092596,0.8747665905691568,321653.9149377346,135.30407741746507,12.609656050090345,157.48069820653387,2394.9676072597504
Breast,70,-1,0.01399359431177209,0.8397642818165748,0.8740101722982297,321113.5901646614,110.39748023610441,12.592592396852393,129.96105600257061,2935.292380332947
Breast,80,-1,0.01416847504170565,0.840887550310658,0.8737161395329069,321162.06373524666,112.25120241381404,12.590761874340878,127.56958212348032,2886.818809747696
Breast,90,-1,0.013861694698294432,0.8410447642911588,0.875283739409948,321105.10392951965,110.07922974966637,12.576817370580333,111.88565523124917,2943.778615474701
Breast,100,-1,0.01392933690473077,0.8397289640255946,0.8746308419410959,320786.82335209846,99.33874996833529,12.589108414482103,125.48384859774208,3262.0591928958893
Breast,200,-1,0.01389850925493295,0.841396289575458,0.8750835781024585,319112.25171518326,65.64170863013355,12.494609470854686,64.86877163419464,4936.630829811096
Breast,300,-1,0.013876160195776623,0.8422653839381843,0.8748056612243934,317413.24496364594,48.83462645034101,12.423736270183214,47.61769243841068,6635.637581348419
Breast,400,-1,0.013808745130205698,0.8428950548595906,0.8761383818916978,314998.44525170326,35.80477628249027,12.329847369176626,35.21236991771927,9050.437293291092
Breast,500,-1,0.013875323722362908,0.8428195526186679,0.8750929250929251,313412.7154495716,30.466697226339008,12.247807036921797,28.682924461401107,10636.167095422745
Breast,600,-1,0.013813270211073737,0.8428999035392215,0.876414564769259,311622.1229903698,26.076700134139244,12.151772099374309,23.567357437698536,12426.759554624557
Breast,700,-1,0.013861249570855392,0.8413183888023569,0.8760089195649745,309471.20333981514,22.22911328916231,12.077083522874714,20.696612878757158,14577.679205179214
Breast,800,-1,0.013888646077655914,0.8425459624242913,0.8758346226198092,307774.09048986435,19.911092040211376,12.002784817731026,18.45976296732162,16274.792055130005
Breast,900,-1,0.013846944845623025,0.8427581882423096,0.8750738385491572,305829.45307826996,17.78589626732444,11.912332098819407,16.31331584669851,18219.429466724396
Breast,1000,-1,0.01384529077952245,0.8435867926140154,0.875736328035813,303361.7531261444,15.664274921088067,11.942328386811575,16.967590563676545,20687.129418849945
Breast,1200,-1,0.013796218054013295,0.8426834914881204,0.8761120780218574,299933.66922545433,13.437529175096483,11.709035936497598,12.933347860063611,24115.213319540024
Breast,1400,-1,0.013897634447922304,0.8428520076258527,0.8759493113363661,295359.08880615234,11.294918516833985,11.536027624136743,10.994728137816507,28689.79373884201
Breast,1600,-1,0.01384194030872167,0.8432550476882839,0.8762689935877459,291598.0986685753,9.98585685261274,11.260232643391763,8.874254270696257,32450.783876419067
