tissue,type,precision
Breast,all,0.0008844151462932064
Breast,signif,0.0010828370330265296
Breast,all,0.0008510712207661378
Breast,signif,0.0013698630136986301
Breast,all,0.0006382551926618888
Breast,signif,0.0010799666192135879
Breast,all,0.0006747820453993361
Breast,signif,0.0010137092102722534
Breast,all,0.0008327994875080077
Breast,signif,0.0010342789598108747
Breast,all,0.0007086077674312969
Breast,signif,0.0009356840342755836
Breast,all,0.0007716049382716049
Breast,signif,0.0010038720780152016
Breast,all,0.0006890033301827625
Breast,signif,0.001029673312739867
Breast,all,0.000846262341325811
Breast,signif,0.0014186553174241274
Breast,all,0.0007619991920972422
Breast,signif,0.0011517275913870805
Kidney,all,0.0008818541548897683
Kidney,signif,0.0007999600019999
Kidney,all,0.000705365818548242
Kidney,signif,0.0008963786303334528
Kidney,all,0.0008167772088907712
Kidney,signif,0.0011914217633042098
Kidney,all,0.0008229023539537061
Kidney,signif,0.001045400238948626
Kidney,all,0.0007459179639423256
Kidney,signif,0.0007464427338465127
Kidney,all,0.00072992700729927
Kidney,signif,0.0008304430658004005
Kidney,all,0.0007138434643260371
Kidney,signif,0.0008600009052641108
Kidney,all,0.0007312862344790151
Kidney,signif,0.0009358476440035562
Kidney,all,0.0006543483002523914
Kidney,signif,0.000676730869338886
Kidney,all,0.0008592926900344465
Kidney,signif,0.0013067015120403211
Testis,all,0.0006589433753929172
Testis,signif,0.0006416288818547352
Testis,all,0.0007205307323931286
Testis,signif,0.0006643966447969437
Testis,all,0.000591065672937504
Testis,signif,0.000695440518103186
Testis,all,0.0006683084472356749
Testis,signif,0.000696560731388768
Testis,all,0.0005965724202762311
Testis,signif,0.0007838697034359622
Testis,all,0.0007391427662847762
Testis,signif,0.0008318083513558476
Testis,all,0.0006380922863758182
Testis,signif,0.00074362451336337
Testis,all,0.0006080951627279315
Testis,signif,0.0007936507936507937
Testis,all,0.0006520651707874804
Testis,signif,0.0009370873620990757
Testis,all,0.0006602781856250489
Testis,signif,0.0006590600156526754
