,tissue,gtA,gtB,mae,f1,precision,recall,tp,fp,tn,fn
0,breast,0,1,0.014428486108283234,0.8726535135084375,0.8743366828497234,0.8709768121918758,0.8709768121918758,0.02809845257947834,0.9719015474205217,0.12902318780812416
1,kidney,0,1,0.018039288975780145,0.8114676043627923,0.8179234392554189,0.8051128826482085,0.8051128826482085,0.04192329439098466,0.9580767056090154,0.1948871173517916
2,testis,0,1,0.012600149615301794,0.888381701185189,0.8860663639214411,0.8907091703423846,0.8907091703423846,0.030258183756360208,0.9697418162436398,0.10929082965761533
3,breast,0,2,0.014427214806008767,0.8717514380321812,0.8720607775398227,0.8714423179060365,0.8714423179060365,0.028697336439488186,0.9713026635605119,0.12855768209396343
4,kidney,0,2,0.018244148014090644,0.8085072163527263,0.8137934578718812,0.8032892083630304,0.8032892083630304,0.042994204035282466,0.9570057959647176,0.1967107916369696
5,testis,0,2,0.012605357953009837,0.8888300762258748,0.8875965472356696,0.8900670385582624,0.8900670385582624,0.029778854742951333,0.9702211452570486,0.10993296144173763
6,breast,0,3,0.01439536416410171,0.8726650671349444,0.8743441376174123,0.8709924331889953,0.8709924331889953,0.0280970500411645,0.9719029499588355,0.12900756681100467
7,kidney,0,3,0.01819702486323636,0.8099274056228388,0.8158416198299466,0.8040983211543681,0.8040983211543681,0.04245726595877858,0.9575427340412214,0.19590167884563192
8,testis,0,3,0.01252891131370225,0.8896231430257217,0.8902753289027533,0.8889719119882502,0.8889719119882502,0.028946043715793058,0.971053956284207,0.11102808801174985
9,breast,0,4,0.01440225562940143,0.8717643214202508,0.8726034300882407,0.8709268250010934,0.8709268250010934,0.028540953417494984,0.971459046582505,0.12907317499890653
10,kidney,0,4,0.018236561869858704,0.8085868530337833,0.8104690748970522,0.8067133534047416,0.8067133534047416,0.04412859696597355,0.9558714030340264,0.19328664659525846
11,testis,0,4,0.01260705490392352,0.8874212970846971,0.8865774674475677,0.8882667345380504,0.8882667345380504,0.030022529080527275,0.9699774709194727,0.1117332654619496
12,breast,0,5,0.014417898597667105,0.8719357208735208,0.8725549701528026,0.8713173499290807,0.8713173499290807,0.02856619910714411,0.9714338008928559,0.12868265007091934
13,kidney,0,5,0.01834552412893381,0.8099037307681985,0.8161881751727051,0.8037153241904433,0.8037153241904433,0.04233919891212193,0.9576608010878781,0.19628467580955666
14,testis,0,5,0.012516621216177219,0.8899267080730842,0.8897304236200256,0.8901230791503312,0.8901230791503312,0.02914530146525389,0.9708546985347462,0.10987692084966878
15,breast,0,6,0.014404675795297486,0.8718915140150668,0.8729085574173991,0.8708768378103111,0.8708768378103111,0.02846100873360608,0.9715389912663939,0.1291231621896889
16,kidney,0,6,0.01826373614653123,0.8099600307198715,0.8217694106837071,0.7984852596896964,0.7984852596896964,0.04050945633981476,0.9594905436601853,0.20151474031030364
