source	target	mor
BTAF1	TBP	9.74629729460204
BTAF1	DR1	11.2690696276684
HIVEP1	COL2A1	12.8189634250916
HIVEP1	IRF1	13.0887820916059
HIVEP1	TP53	7.8640823052952
HIVEP1	HP	12.1766796879172
HIVEP1	SPEN	9.11135741749372
HIVEP1	CRYAA	10.1634184141764
HIVEP1	SOX9	8.35492288860764
HIVEP1	CCND1	8.75353736319043
HIVEP1	PTGS2	10.4723147103602
HIVEP1	MYC	13.0342905101203
HNF1B	SERPINA1	8.94049668681934
HNF1B	INS	10.9316336116633
HNF1B	HNF4A	8.86517876348832
HNF1B	SLC2A2	10.1227152901679
HNF1B	SHH	13.0792347631115
HNF1B	TTR	8.65167467558277
HNF1B	ONECUT1	6.60734787872916
HNF1B	AKR1C4	8.5432289247785
HNF1B	B3GALT5	6.69230375671118
HNF1B	ADCY10	9.08058912205897
HNF1B	HNF1A	9.46116392824073
HNF1B	PKHD1	9.37217956496645
HNF1B	NNMT	8.79533643780908
HNF1B	KRT18	9.28411499079433
HNF1B	ACE2	9.81572576599331
HNF1B	DPP4	8.33319871298648
HNF1B	ALB	10.0250984648382
HNF1B	SLC22A8	8.99838861532741
HNF1B	IL1B	7.77373118995316
HNF1B	GSTA1	7.78223322663921
HNF1B	ABCC2	9.00914614017082
HNF1B	IGF1	10.9310391196748
HNF1B	SLC22A12	8.6331862348349
HNF1B	KCNK3	8.55122416540048
HNF1B	SOCS3	11.9932230963634
HNF1B	WNT3A	13.7060993671165
HNF1B	SLC5A1	10.9746626924381
HNF1B	TRIP12	9.05675103024262
HNF1B	MAP3K14	7.4625307206277
HNF1B	SLC23A1	9.87781223113781
HNF1B	AFM	7.97537889607662
HNF1B	LHX1	9.21944077607391
HNF1B	PAX8	7.16062215504822
HNF1B	CA2	8.0847643030167
HNF1B	CFTR	10.8403266862882
HNF1B	PROM1	8.98822324890623
HNF1B	MEP1A	15.1172929445828
HNF1B	MEP1B	12.5872511712527
HNF1B	MIB1	9.76115369335885
HOXA9	SPP1	8.85524947734979
HOXA9	EPHB4	7.94796231514247
HOXA9	EIF4E	8.58351897910131
HOXA9	ODC1	12.4316578972779
HOXA9	CYBB	11.67779892135
HOXA9	HOXA10	6.79366616590951
HOXA9	CDH5	7.95741682783449
HOXA9	KDR	9.24296445589105
HOXA9	FLT3	10.3328516913425
HOXA9	RASSF1	8.56418890167186
HOXA9	PIM1	7.40901656054924
HOXA9	SELE	7.33547770295322
HOXA9	KRAS	11.2996246658729
HOXA9	SETBP1	9.45092822873851
HOXA9	DACH1	7.31915871627525
HOXA9	CD34	11.0506131689665
HOXA9	PTEN	8.3206409621802
