	Top N Predictions	True Positives	Precision	comparison	thresholds	dataset	data_configuration
12	17	7	0.4117647058823529	$\alpha$=0.05 (BH-adj)	20.0	data_0	5_sources
13	43	19	0.4418604651162791	$\alpha$=0.05 (BH-adj)	50.0	data_0	5_sources
14	65	22	0.3384615384615385	$\alpha$=0.05 (BH-adj)	75.0	data_0	5_sources
15	87	28	0.3218390804597701	$\alpha$=0.05 (BH-adj)	100.0	data_0	5_sources
0	1	0	0.0	unfiltered	0.5	data_0	5_sources
1	2	0	0.0	unfiltered	1.0	data_0	5_sources
2	5	2	0.4	unfiltered	2.0	data_0	5_sources
3	8	3	0.375	unfiltered	3.0	data_0	5_sources
4	11	5	0.45454545454545453	unfiltered	4.0	data_0	5_sources
5	13	5	0.38461538461538464	unfiltered	5.0	data_0	5_sources
6	16	7	0.4375	unfiltered	6.0	data_0	5_sources
7	19	8	0.42105263157894735	unfiltered	7.0	data_0	5_sources
8	22	11	0.5	unfiltered	8.0	data_0	5_sources
9	24	13	0.5416666666666666	unfiltered	9.0	data_0	5_sources
10	27	14	0.5185185185185185	unfiltered	10.0	data_0	5_sources
11	41	19	0.4634146341463415	unfiltered	15.0	data_0	5_sources
12	55	20	0.36363636363636365	unfiltered	20.0	data_0	5_sources
13	138	36	0.2608695652173913	unfiltered	50.0	data_0	5_sources
14	207	45	0.21739130434782608	unfiltered	75.0	data_0	5_sources
15	276	64	0.2318840579710145	unfiltered	100.0	data_0	5_sources
0	0	0	0.0	$\alpha$=0.05	0.5	data_1	5_sources
1	1	0	0.0	$\alpha$=0.05	1.0	data_1	5_sources
2	3	0	0.0	$\alpha$=0.05	2.0	data_1	5_sources
3	5	0	0.0	$\alpha$=0.05	3.0	data_1	5_sources
4	7	0	0.0	$\alpha$=0.05	4.0	data_1	5_sources
5	9	0	0.0	$\alpha$=0.05	5.0	data_1	5_sources
6	10	0	0.0	$\alpha$=0.05	6.0	data_1	5_sources
7	12	0	0.0	$\alpha$=0.05	7.0	data_1	5_sources
8	14	0	0.0	$\alpha$=0.05	8.0	data_1	5_sources
9	16	0	0.0	$\alpha$=0.05	9.0	data_1	5_sources
10	18	0	0.0	$\alpha$=0.05	10.0	data_1	5_sources
11	27	3	0.1111111111111111	$\alpha$=0.05	15.0	data_1	5_sources
12	36	8	0.2222222222222222	$\alpha$=0.05	20.0	data_1	5_sources
