dataset,num_permutations,grn1_id,grn2_id,mode,alpha,num_clusters,metric,score
nk_cells,1000,-1,0,raw,-1.0,100,mae,0.05391942567814814
nk_cells,1000,-1,0,raw,0.01,100,precision,0.6666666666666666
nk_cells,1000,-1,0,raw,0.01,100,recall,0.6224215246636772
nk_cells,1000,-1,0,raw,0.01,100,f1,0.6437847866419295
nk_cells,1000,-1,0,raw,0.05,100,precision,0.7997402597402598
nk_cells,1000,-1,0,raw,0.05,100,recall,0.7831616431387511
nk_cells,1000,-1,0,raw,0.05,100,f1,0.7913641328792649
nk_cells,1000,-1,0,bh,-1.0,100,mae,0.026154971397436555
nk_cells,1000,-1,0,bh,0.01,100,precision,0.0
nk_cells,1000,-1,0,bh,0.01,100,recall,0.0
nk_cells,1000,-1,0,bh,0.01,100,f1,0.0
nk_cells,1000,-1,0,bh,0.05,100,precision,0.0
nk_cells,1000,-1,0,bh,0.05,100,recall,0.0
nk_cells,1000,-1,0,bh,0.05,100,f1,0.0
nk_cells,1000,-1,1,raw,-1.0,100,mae,0.05307180960706838
nk_cells,1000,-1,1,raw,0.01,100,precision,0.6777137367915466
nk_cells,1000,-1,1,raw,0.01,100,recall,0.6100302637267618
nk_cells,1000,-1,1,raw,0.01,100,f1,0.6420932878270762
nk_cells,1000,-1,1,raw,0.05,100,precision,0.808961038961039
nk_cells,1000,-1,1,raw,0.05,100,recall,0.7840151038388924
nk_cells,1000,-1,1,raw,0.05,100,f1,0.7962927452860339
nk_cells,1000,-1,1,bh,-1.0,100,mae,0.02647891958796861
nk_cells,1000,-1,1,bh,0.01,100,precision,0.0
nk_cells,1000,-1,1,bh,0.01,100,recall,0.0
nk_cells,1000,-1,1,bh,0.01,100,f1,0.0
nk_cells,1000,-1,1,bh,0.05,100,precision,0.0
nk_cells,1000,-1,1,bh,0.05,100,recall,0.0
nk_cells,1000,-1,1,bh,0.05,100,f1,0.0
nk_cells,1000,-1,2,raw,-1.0,100,mae,0.05012246897194721
nk_cells,1000,-1,2,raw,0.01,100,precision,0.6762728146013448
nk_cells,1000,-1,2,raw,0.01,100,recall,0.6579439252336449
nk_cells,1000,-1,2,raw,0.01,100,f1,0.6669824727617243
nk_cells,1000,-1,2,raw,0.05,100,precision,0.8133766233766234
nk_cells,1000,-1,2,raw,0.05,100,recall,0.8048059624775122
nk_cells,1000,-1,2,raw,0.05,100,f1,0.8090685957886578
nk_cells,1000,-1,2,bh,-1.0,100,mae,0.023965398423902048
nk_cells,1000,-1,2,bh,0.01,100,precision,0.0
nk_cells,1000,-1,2,bh,0.01,100,recall,0.0
nk_cells,1000,-1,2,bh,0.01,100,f1,0.0
nk_cells,1000,-1,2,bh,0.05,100,precision,0.0
nk_cells,1000,-1,2,bh,0.05,100,recall,0.0
nk_cells,1000,-1,2,bh,0.05,100,f1,0.0
nk_cells,1000,-1,3,raw,-1.0,100,mae,0.05036871792695552
nk_cells,1000,-1,3,raw,0.01,100,precision,0.6858789625360231
nk_cells,1000,-1,3,raw,0.01,100,recall,0.6915254237288135
nk_cells,1000,-1,3,raw,0.01,100,f1,0.6886906197251025
nk_cells,1000,-1,3,raw,0.05,100,precision,0.8123376623376624
nk_cells,1000,-1,3,raw,0.05,100,recall,0.8244365361803084
nk_cells,1000,-1,3,raw,0.05,100,f1,0.8183423824164323
nk_cells,1000,-1,3,bh,-1.0,100,mae,0.024031435478519325
nk_cells,1000,-1,3,bh,0.01,100,precision,0.0
nk_cells,1000,-1,3,bh,0.01,100,recall,0.0
nk_cells,1000,-1,3,bh,0.01,100,f1,0.0
nk_cells,1000,-1,3,bh,0.05,100,precision,0.0
nk_cells,1000,-1,3,bh,0.05,100,recall,0.0
nk_cells,1000,-1,3,bh,0.05,100,f1,0.0
nk_cells,1000,-1,4,raw,-1.0,100,mae,0.05183924855580807
nk_cells,1000,-1,4,raw,0.01,100,precision,0.6690682036503363
nk_cells,1000,-1,4,raw,0.01,100,recall,0.6277602523659306
nk_cells,1000,-1,4,raw,0.01,100,f1,0.6477563357358754
nk_cells,1000,-1,4,raw,0.05,100,precision,0.8027272727272727
nk_cells,1000,-1,4,raw,0.05,100,recall,0.7984756491409378
nk_cells,1000,-1,4,raw,0.05,100,f1,0.800595816333139
nk_cells,1000,-1,4,bh,-1.0,100,mae,0.025115595303600996
nk_cells,1000,-1,4,bh,0.01,100,precision,0.0
nk_cells,1000,-1,4,bh,0.01,100,recall,0.0
nk_cells,1000,-1,4,bh,0.01,100,f1,0.0
nk_cells,1000,-1,4,bh,0.05,100,precision,0.0
nk_cells,1000,-1,4,bh,0.05,100,recall,0.0
nk_cells,1000,-1,4,bh,0.05,100,f1,0.0
nk_cells,1000,-1,5,raw,-1.0,100,mae,0.051564462732376734
nk_cells,1000,-1,5,raw,0.01,100,precision,0.7017291066282421
nk_cells,1000,-1,5,raw,0.01,100,recall,0.6983747609942639
nk_cells,1000,-1,5,raw,0.01,100,f1,0.7000479156684236
nk_cells,1000,-1,5,raw,0.05,100,precision,0.8281818181818181
nk_cells,1000,-1,5,raw,0.05,100,recall,0.8187187058672487
nk_cells,1000,-1,5,raw,0.05,100,f1,0.8234230744399251
nk_cells,1000,-1,5,bh,-1.0,100,mae,0.023755841226722314
nk_cells,1000,-1,5,bh,0.01,100,precision,0.0
nk_cells,1000,-1,5,bh,0.01,100,recall,0.0
nk_cells,1000,-1,5,bh,0.01,100,f1,0.0
nk_cells,1000,-1,5,bh,0.05,100,precision,0.0
nk_cells,1000,-1,5,bh,0.05,100,recall,0.0
nk_cells,1000,-1,5,bh,0.05,100,f1,0.0
nk_cells,1000,-1,6,raw,-1.0,100,mae,0.05180576248880244
nk_cells,1000,-1,6,raw,0.01,100,precision,0.6733909702209414
nk_cells,1000,-1,6,raw,0.01,100,recall,0.650278293135436
nk_cells,1000,-1,6,raw,0.01,100,f1,0.6616328456819255
