dataset,mode,alpha,num_permutations,pval_mode,num_clusters,num_sig
nk_cells,gt,0.01,1000,pvalue,-1,2230
nk_cells,gt,0.01,1000,pvalue_bh,-1,0
nk_cells,approx,0.01,1000,pvalue,1,1940
nk_cells,approx,0.01,1000,pvalue_bh,1,0
nk_cells,approx,0.01,1000,pvalue_westfall_young,1,66
nk_cells,approx,0.01,1000,pvalue,2,2113
nk_cells,approx,0.01,1000,pvalue_bh,2,0
nk_cells,approx,0.01,1000,pvalue_westfall_young,2,54
nk_cells,approx,0.01,1000,pvalue,3,2012
nk_cells,approx,0.01,1000,pvalue_bh,3,0
nk_cells,approx,0.01,1000,pvalue_westfall_young,3,71
nk_cells,approx,0.01,1000,pvalue,4,2202
nk_cells,approx,0.01,1000,pvalue_bh,4,0
nk_cells,approx,0.01,1000,pvalue_westfall_young,4,68
nk_cells,approx,0.01,1000,pvalue,5,2096
nk_cells,approx,0.01,1000,pvalue_bh,5,0
nk_cells,approx,0.01,1000,pvalue_westfall_young,5,62
nk_cells,approx,0.01,1000,pvalue,6,2029
nk_cells,approx,0.01,1000,pvalue_bh,6,0
nk_cells,approx,0.01,1000,pvalue_westfall_young,6,58
nk_cells,approx,0.01,1000,pvalue,7,2106
nk_cells,approx,0.01,1000,pvalue_bh,7,0
nk_cells,approx,0.01,1000,pvalue_westfall_young,7,67
nk_cells,approx,0.01,1000,pvalue,8,2000
nk_cells,approx,0.01,1000,pvalue_bh,8,0
nk_cells,approx,0.01,1000,pvalue_westfall_young,8,64
nk_cells,approx,0.01,1000,pvalue,9,2169
nk_cells,approx,0.01,1000,pvalue_bh,9,0
nk_cells,approx,0.01,1000,pvalue_westfall_young,9,64
nk_cells,approx,0.01,1000,pvalue,10,2130
nk_cells,approx,0.01,1000,pvalue_bh,10,0
nk_cells,approx,0.01,1000,pvalue_westfall_young,10,61
nk_cells,approx,0.01,1000,pvalue,20,1846
nk_cells,approx,0.01,1000,pvalue_bh,20,0
nk_cells,approx,0.01,1000,pvalue_westfall_young,20,70
nk_cells,approx,0.01,1000,pvalue,30,2090
nk_cells,approx,0.01,1000,pvalue_bh,30,0
nk_cells,approx,0.01,1000,pvalue_westfall_young,30,68
nk_cells,approx,0.01,1000,pvalue,40,2020
nk_cells,approx,0.01,1000,pvalue_bh,40,0
nk_cells,approx,0.01,1000,pvalue_westfall_young,40,66
nk_cells,approx,0.01,1000,pvalue,50,1988
nk_cells,approx,0.01,1000,pvalue_bh,50,0
nk_cells,approx,0.01,1000,pvalue_westfall_young,50,76
nk_cells,approx,0.01,1000,pvalue,60,2045
nk_cells,approx,0.01,1000,pvalue_bh,60,0
nk_cells,approx,0.01,1000,pvalue_westfall_young,60,70
nk_cells,approx,0.01,1000,pvalue,70,2084
nk_cells,approx,0.01,1000,pvalue_bh,70,0
