dataset,mode,alpha,num_permutations,num_clusters,metric,score,num_sig,num_sig_approx
nk_cells,raw,-1.0,1000,1,mae,0.05937557488363856,-1,-1
nk_cells,raw,0.01,1000,1,precision,0.6865979381443299,2230,1940
nk_cells,raw,0.01,1000,1,recall,0.5973094170403588,2230,1940
nk_cells,raw,0.01,1000,1,f1,0.6388489208633094,2230,1940
nk_cells,raw,0.05,1000,1,precision,0.7983765383608274,7863,7638
nk_cells,raw,0.05,1000,1,recall,0.7755309678239858,7863,7638
nk_cells,raw,0.05,1000,1,f1,0.7867879491645701,7863,7638
nk_cells,bh,-1.0,1000,1,mae,0.02852878154501746,-1,-1
nk_cells,bh,0.01,1000,1,precision,0.0,0,0
nk_cells,bh,0.01,1000,1,recall,0.0,0,0
nk_cells,bh,0.01,1000,1,f1,0.0,0,0
nk_cells,bh,0.05,1000,1,precision,0.0,0,0
nk_cells,bh,0.05,1000,1,recall,0.0,0,0
nk_cells,bh,0.05,1000,1,f1,0.0,0,0
nk_cells,raw,-1.0,1000,2,mae,0.05281209514634201,-1,-1
nk_cells,raw,0.01,1000,2,precision,0.6493137718883104,2230,2113
nk_cells,raw,0.01,1000,2,recall,0.6152466367713004,2230,2113
nk_cells,raw,0.01,1000,2,f1,0.6318213216670504,2230,2113
nk_cells,raw,0.05,1000,2,precision,0.8105698410647371,7863,7739
nk_cells,raw,0.05,1000,2,recall,0.797787104158718,7863,7739
nk_cells,raw,0.05,1000,2,f1,0.8041276759389822,7863,7739
nk_cells,bh,-1.0,1000,2,mae,0.025578692286714024,-1,-1
nk_cells,bh,0.01,1000,2,precision,0.0,0,0
nk_cells,bh,0.01,1000,2,recall,0.0,0,0
nk_cells,bh,0.01,1000,2,f1,0.0,0,0
nk_cells,bh,0.05,1000,2,precision,0.0,0,0
nk_cells,bh,0.05,1000,2,recall,0.0,0,0
nk_cells,bh,0.05,1000,2,f1,0.0,0,0
nk_cells,raw,-1.0,1000,3,mae,0.05244577547465711,-1,-1
nk_cells,raw,0.01,1000,3,precision,0.6789264413518886,2230,2012
nk_cells,raw,0.01,1000,3,recall,0.6125560538116592,2230,2012
nk_cells,raw,0.01,1000,3,f1,0.644035832154644,2230,2012
